source country,source sector,source sector group,color,target country,target sector,target sector group,amount,year
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,5855.1469328,1995
USA,Forestry,"Agriculture, forestry and fishing",lime,Japan,Manufacture of wood products,Manufacture and production,2426.80311935,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,Japan,Manufacture of wood products,Manufacture and production,2280.59925481,1995
USA,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Africa,Processing of food products,Manufacture and production,1615.17408784,1995
USA,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Africa,Chemicals,Manufacture and production,1407.68677212,1995
USA,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Africa,Cultivation of cereal grains,"Agriculture, forestry and fishing",1276.68301682,1995
Canada,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,1209.74039114,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,1154.54698345,1995
USA,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing vegetable oils and fats,Manufacture and production,879.251057545,1995
Taiwan,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,877.889762204,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Processing of food products,Manufacture and production,868.809547872,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Manufacture of beverages,Manufacture and production,868.598135469,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of wood products,Manufacture and production,853.449766357,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of textiles,Manufacture and production,675.157402561,1995
RoW America,Cultivation of wheat,"Agriculture, forestry and fishing",lime,Brazil,Processing of food products,Manufacture and production,612.152928919,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",606.0747503,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,601.779722866,1995
Canada,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing vegetable oils and fats,Manufacture and production,564.569459966,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,India,Processing of food products,Manufacture and production,561.357721102,1995
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Manufacture of beverages,Manufacture and production,520.843121991,1995
RoW Asia and Pacific,Fishing,"Agriculture, forestry and fishing",lime,Japan,Manufacture of fish products,Manufacture and production,512.335633996,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,India,Processing vegetable oils and fats,Manufacture and production,511.662839411,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Hotels and restaurants,Utilities,452.151592221,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Real estate activities,Services,447.535180283,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,445.761366874,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,428.895457274,1995
USA,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,416.414079874,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Middle East,Chemicals,Manufacture and production,405.634339258,1995
Taiwan,Pigs farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,355.183000733,1995
China,Poultry farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,346.650269524,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",341.51846131,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Manufacture of tobacco products,Manufacture and production,338.400921227,1995
RoW Asia and Pacific,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of textiles,Manufacture and production,333.242559762,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Real estate activities,Services,330.963474534,1995
France,Cattle farming,"Agriculture, forestry and fishing",lime,Italy,Processing of meat cattle,Manufacture and production,329.936588943,1995
Canada,Cultivation of wheat,"Agriculture, forestry and fishing",lime,Taiwan,Processing of food products,Manufacture and production,329.918872169,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,319.668230357,1995
France,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,United Kingdom,Processing of food products,Manufacture and production,300.785659374,1995
Canada,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,268.94154311,1995
France,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,Belgium,Processing of food products,Manufacture and production,253.940038864,1995
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",253.249896864,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Manufacture of tobacco products,Manufacture and production,250.166572343,1995
RoW Asia and Pacific,Fishing,"Agriculture, forestry and fishing",lime,Japan,Hotels and restaurants,Utilities,242.986591876,1995
USA,Forestry,"Agriculture, forestry and fishing",lime,Japan,Forestry,"Agriculture, forestry and fishing",241.852995039,1995
RoW America,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,Brazil,Manufacture of textiles,Manufacture and production,240.077933914,1995
USA,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Manufacture of wood products,Manufacture and production,237.527015024,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,South Korea,Manufacture of tobacco products,Manufacture and production,235.654971645,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Forestry,"Agriculture, forestry and fishing",233.993102293,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,China,Construction,Utilities,229.92627104,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,Japan,Forestry,"Agriculture, forestry and fishing",227.154447614,1995
Indonesia,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Belgium,Processing of food products,Manufacture and production,226.048735887,1995
China,Pigs farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,225.684248933,1995
RoW Europe,Cattle farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,219.603516136,1995
Germany,Cattle farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,218.350804832,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Japan,Hotels and restaurants,Utilities,214.289549985,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,South Korea,Processing of food products,Manufacture and production,214.270352802,1995
France,Cattle farming,"Agriculture, forestry and fishing",lime,Italy,Processing of food products,Manufacture and production,207.421085242,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,Italy,Manufacture of textiles,Manufacture and production,205.599729399,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Processing of food products,Manufacture and production,202.264423345,1995
USA,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,201.242149331,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Manufacture of beverages,Manufacture and production,200.720264859,1995
RoW Africa,Cultivation of crops,"Agriculture, forestry and fishing",lime,France,Cattle farming,"Agriculture, forestry and fishing",200.395017331,1995
Australia,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,197.501417195,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Cattle farming,"Agriculture, forestry and fishing",179.187020912,1995
Turkey,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,Italy,Manufacture of textiles,Manufacture and production,177.382827094,1995
China,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,174.487447497,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Forestry,"Agriculture, forestry and fishing",173.117803235,1995
RoW Africa,Cultivation of crops,"Agriculture, forestry and fishing",lime,Germany,Processing of food products,Manufacture and production,172.903388779,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,Manufacture of fish products,Manufacture and production,172.528167775,1995
Australia,Cattle farming,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,168.513800368,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Japan,Health and social work,Services,164.660416679,1995
Canada,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Mexico,Processing vegetable oils and fats,Manufacture and production,162.950714302,1995
Russia,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,RoW Europe,Petroleum Refinery,Manufacture and production,159.500557733,1995
RoW Africa,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,158.478257731,1995
France,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,United Kingdom,Hotels and restaurants,Utilities,156.130848418,1995
USA,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Processing of food products,Manufacture and production,155.74751629,1995
RoW America,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,Brazil,Processing of food products,Manufacture and production,153.937369477,1995
RoW Asia and Pacific,Fishing,"Agriculture, forestry and fishing",lime,Japan,Health and social work,Services,153.88529356,1995
Taiwan,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Processing of food products,Manufacture and production,152.868867726,1995
USA,Cultivation of plant-based fibers,"Agriculture, forestry and fishing",lime,Indonesia,Manufacture of textiles,Manufacture and production,151.935709403,1995
Canada,Cultivation of cereal grains,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,150.308422472,1995
RoW Africa,Cultivation of crops,"Agriculture, forestry and fishing",lime,France,Raw milk,"Agriculture, forestry and fishing",147.043857905,1995
Taiwan,Fishing,"Agriculture, forestry and fishing",lime,Japan,Manufacture of fish products,Manufacture and production,146.062046954,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,India,Hotels and restaurants,Utilities,145.431948814,1995
Netherlands,Cultivation of crops,"Agriculture, forestry and fishing",lime,Germany,Processing of food products,Manufacture and production,144.389700981,1995
RoW Asia and Pacific,Fishing,"Agriculture, forestry and fishing",lime,Japan,Fishing,"Agriculture, forestry and fishing",142.795868429,1995
France,Cultivation of wheat,"Agriculture, forestry and fishing",lime,Netherlands,Processing of food products,Manufacture and production,141.982764496,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Spain,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",140.823895455,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Chemicals,Manufacture and production,139.982535519,1995
RoW Asia and Pacific,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,Japan,Manufacture of beverages,Manufacture and production,139.776272454,1995
RoW America,Cultivation of crops,"Agriculture, forestry and fishing",lime,Germany,Processing of food products,Manufacture and production,139.534272132,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,Taiwan,Manufacture of wood products,Manufacture and production,134.942747349,1995
China,"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing",lime,USA,Hotels and restaurants,Utilities,133.124115301,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Cattle farming,"Agriculture, forestry and fishing",132.493084608,1995
Canada,Cultivation of oil seeds,"Agriculture, forestry and fishing",lime,Belgium,Processing of food products,Manufacture and production,130.596516815,1995
RoW Asia and Pacific,Forestry,"Agriculture, forestry and fishing",lime,Taiwan,Construction,Utilities,130.157239581,1995
Canada,Cultivation of wheat,"Agriculture, forestry and fishing",lime,Japan,Processing of food products,Manufacture and production,130.069526488,1995
China,Cultivation of crops,"Agriculture, forestry and fishing",lime,USA,Real estate activities,Services,129.861472278,1995
Indonesia,Animal products,"Agriculture, forestry and fishing",lime,RoW Asia and Pacific,Chemicals,Manufacture and production,129.126046552,1995
RoW Asia and Pacific,Cultivation of crops,"Agriculture, forestry and fishing",lime,Japan,Manufacture of tobacco products,Manufacture and production,126.593115853,1995
United Kingdom,Extraction of crude petroleum,Extraction and mining,orange,France,Petroleum Refinery,Manufacture and production,7765.22580422,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,6687.02062739,1995
United Kingdom,Extraction of crude petroleum,Extraction and mining,orange,Germany,Petroleum Refinery,Manufacture and production,5182.97753685,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,South Korea,Petroleum Refinery,Manufacture and production,2552.85183232,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,RoW Asia and Pacific,Petroleum Refinery,Manufacture and production,1936.31054052,1995
Indonesia,Extraction of crude petroleum,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,1409.34138041,1995
Indonesia,Extraction of crude petroleum,Extraction and mining,orange,RoW Asia and Pacific,Petroleum Refinery,Manufacture and production,1240.40385188,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,France,Petroleum Refinery,Manufacture and production,1184.74778009,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Italy,Petroleum Refinery,Manufacture and production,1109.68533706,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Italy,Petroleum Refinery,Manufacture and production,1010.66572179,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,908.536230312,1995
Mexico,Extraction of crude petroleum,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,837.533237025,1995
RoW Asia and Pacific,Mining of copper,Extraction and mining,orange,Japan,Copper production,Manufacture and production,784.408475749,1995
RoW America,Extraction of crude petroleum,Extraction and mining,orange,Canada,Petroleum Refinery,Manufacture and production,626.654133718,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,France,Petroleum Refinery,Manufacture and production,623.315138047,1995
Indonesia,Extraction of crude petroleum,Extraction and mining,orange,Taiwan,Petroleum Refinery,Manufacture and production,584.551090857,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Australia,Petroleum Refinery,Manufacture and production,555.14653591,1995
RoW America,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Petroleum Refinery,Manufacture and production,553.894094591,1995
Canada,Mining of copper,Extraction and mining,orange,Japan,Copper production,Manufacture and production,547.140232661,1995
RoW Asia and Pacific,"Mining of coal, lignite and peat",Extraction and mining,orange,Russia,Production of electricity by coal,Utilities,522.95211218,1995
Mexico,Extraction of crude petroleum,Extraction and mining,orange,RoW America,Petroleum Refinery,Manufacture and production,517.395425742,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Germany,Petroleum Refinery,Manufacture and production,511.413248994,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,South Korea,Petroleum Refinery,Manufacture and production,468.856379666,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,RoW Africa,Chemicals,Manufacture and production,458.2263031,1995
RoW America,Mining of copper,Extraction and mining,orange,Japan,Copper production,Manufacture and production,453.045013215,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Germany,Petroleum Refinery,Manufacture and production,409.318820889,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,Japan,Production of electricity by coal,Utilities,356.04160866,1995
Indonesia,Extraction of crude petroleum,Extraction and mining,orange,China,Petroleum Refinery,Manufacture and production,354.631664654,1995
Indonesia,Extraction of crude petroleum,Extraction and mining,orange,South Korea,Petroleum Refinery,Manufacture and production,343.143762441,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Petroleum Refinery,Manufacture and production,328.521840634,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Greece,Petroleum Refinery,Manufacture and production,307.037630861,1995
Australia,Extraction of crude petroleum,Extraction and mining,orange,RoW Asia and Pacific,Petroleum Refinery,Manufacture and production,297.569552652,1995
Brazil,Mining of iron,Extraction and mining,orange,Japan,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,297.051063475,1995
Indonesia,Extraction of crude petroleum,Extraction and mining,orange,Australia,Petroleum Refinery,Manufacture and production,285.643704963,1995
RoW Asia and Pacific,Mining of nickel,Extraction and mining,orange,Japan,Other non-ferrous metal production,Manufacture and production,282.577642919,1995
Spain,Quarrying of stone,Extraction and mining,orange,RoW Middle East,Construction,Utilities,254.416769421,1995
China,Extraction of crude petroleum,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,251.429385377,1995
Australia,Mining of iron,Extraction and mining,orange,Japan,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,244.656626691,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,Japan,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,243.398127061,1995
RoW America,Extraction of crude petroleum,Extraction and mining,orange,Germany,Petroleum Refinery,Manufacture and production,238.976567979,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,South Korea,Production of electricity by gas,Utilities,229.306164202,1995
Australia,Extraction of natural gas,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,228.729390893,1995
RoW America,Extraction of crude petroleum,Extraction and mining,orange,South Korea,Petroleum Refinery,Manufacture and production,226.096951353,1995
RoW Asia and Pacific,Quarrying of stone,Extraction and mining,orange,Japan,Construction,Utilities,225.081630533,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,Japan,"Manufacture of cement, lime and plaster",Manufacture and production,224.866755354,1995
RoW Asia and Pacific,Mining of other non-ferrous metals,Extraction and mining,orange,Russia,Other non-ferrous metal production,Manufacture and production,223.482122844,1995
Australia,Extraction of crude petroleum,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,217.013336284,1995
RoW Africa,Extraction of natural gas,Extraction and mining,orange,France,Plastics,Manufacture and production,212.486126051,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,Japan,Manufacture of coke oven products,Manufacture and production,208.105038907,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,South Korea,Petroleum Refinery,Manufacture and production,204.196132977,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Canada,Petroleum Refinery,Manufacture and production,199.918880853,1995
United Kingdom,Extraction of crude petroleum,Extraction and mining,orange,Italy,Petroleum Refinery,Manufacture and production,195.586453609,1995
RoW America,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Extraction of crude petroleum,Extraction and mining,184.074277519,1995
Mexico,Extraction of crude petroleum,Extraction and mining,orange,Canada,Petroleum Refinery,Manufacture and production,183.964342888,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Petroleum Refinery,Manufacture and production,181.535884497,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Switzerland,Petroleum Refinery,Manufacture and production,177.640354447,1995
USA,Quarrying of sand and clay,Extraction and mining,orange,RoW America,Copper production,Manufacture and production,174.265960398,1995
Indonesia,Mining of copper,Extraction and mining,orange,Japan,Copper production,Manufacture and production,165.921290793,1995
China,Extraction of crude petroleum,Extraction and mining,orange,RoW Asia and Pacific,Petroleum Refinery,Manufacture and production,161.740774653,1995
RoW America,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Chemicals,Manufacture and production,155.633966044,1995
RoW Asia and Pacific,Extraction of natural gas,Extraction and mining,orange,Japan,Petroleum Refinery,Manufacture and production,154.125222925,1995
RoW Asia and Pacific,Extraction of natural gas,Extraction and mining,orange,South Korea,Petroleum Refinery,Manufacture and production,151.762193291,1995
RoW Asia and Pacific,Mining of other non-ferrous metals,Extraction and mining,orange,Slovakia,Casting of metals,Manufacture and production,141.552813776,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Russia,Petroleum Refinery,Manufacture and production,141.301661672,1995
RoW Asia and Pacific,Mining of other non-ferrous metals,Extraction and mining,orange,Slovakia,Other non-ferrous metal production,Manufacture and production,139.205981669,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Turkey,Petroleum Refinery,Manufacture and production,136.831008524,1995
Czechia,"Mining of coal, lignite and peat",Extraction and mining,orange,Austria,Production of electricity by coal,Utilities,131.477926227,1995
RoW Asia and Pacific,"Mining of coal, lignite and peat",Extraction and mining,orange,Russia,Activities of membership organisation,Services,131.469922475,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Austria,Petroleum Refinery,Manufacture and production,130.707535716,1995
Brazil,Mining of iron,Extraction and mining,orange,Taiwan,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,130.304002427,1995
Brazil,Mining of iron,Extraction and mining,orange,RoW Middle East,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,129.84656718,1995
Brazil,Mining of iron,Extraction and mining,orange,RoW Asia and Pacific,Chemicals,Manufacture and production,125.613288857,1995
Canada,Mining of iron,Extraction and mining,orange,Germany,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,124.887968699,1995
RoW Asia and Pacific,"Mining of coal, lignite and peat",Extraction and mining,orange,Japan,Manufacture of coke oven products,Manufacture and production,121.639936028,1995
Australia,"Mining of coal, lignite and peat",Extraction and mining,orange,South Korea,Production of electricity by coal,Utilities,120.322528102,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Indonesia,Chemicals,Manufacture and production,119.836323034,1995
Brazil,Mining of iron,Extraction and mining,orange,RoW America,Chemicals,Manufacture and production,119.667439249,1995
RoW Asia and Pacific,Mining of other non-ferrous metals,Extraction and mining,orange,China,Manufacture of electrical machinery,Manufacture and production,119.373406337,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Taiwan,Petroleum Refinery,Manufacture and production,117.084316524,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,RoW America,Petroleum Refinery,Manufacture and production,112.719466455,1995
Australia,Mining of iron,Extraction and mining,orange,Taiwan,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,112.231425872,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Indonesia,Chemicals,Manufacture and production,112.097073502,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Extraction of crude petroleum,Extraction and mining,110.486644508,1995
Mexico,Extraction of crude petroleum,Extraction and mining,orange,Belgium,Petroleum Refinery,Manufacture and production,109.021331604,1995
Indonesia,Mining of copper,Extraction and mining,orange,RoW Asia and Pacific,Chemicals,Manufacture and production,108.841655033,1995
RoW Africa,Mining of iron,Extraction and mining,orange,France,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,104.608020619,1995
Brazil,Mining of iron,Extraction and mining,orange,South Korea,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,103.304801489,1995
Brazil,Mining of iron,Extraction and mining,orange,Italy,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,101.861144953,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Austria,Petroleum Refinery,Manufacture and production,100.946649833,1995
RoW Africa,Extraction of crude petroleum,Extraction and mining,orange,Switzerland,Petroleum Refinery,Manufacture and production,100.298017935,1995
RoW Asia and Pacific,Mining of iron,Extraction and mining,orange,Russia,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,99.3995009716,1995
RoW Asia and Pacific,Extraction of crude petroleum,Extraction and mining,orange,Taiwan,Petroleum Refinery,Manufacture and production,98.2852577739,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Australia,Petroleum Refinery,Manufacture and production,97.6853037451,1995
RoW Asia and Pacific,Quarrying of stone,Extraction and mining,orange,Indonesia,Construction,Utilities,96.8522195946,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,Brazil,Chemicals,Manufacture and production,96.3769300935,1995
Brazil,Mining of iron,Extraction and mining,orange,France,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,95.3902260547,1995
RoW Middle East,Extraction of crude petroleum,Extraction and mining,orange,China,Petroleum Refinery,Manufacture and production,94.6812489484,1995
Canada,Mining of copper,Extraction and mining,orange,RoW Asia and Pacific,Chemicals,Manufacture and production,92.906952954,1995
Australia,Mining of copper,Extraction and mining,orange,Japan,Copper production,Manufacture and production,90.2600860551,1995
Australia,"Mining of lead, zinc and tin",Extraction and mining,orange,Japan,"Lead, zinc and tin production",Manufacture and production,89.7627297905,1995
Japan,Manufacture of communication equipment,Manufacture and production,red,USA,Manufacture of communication equipment,Manufacture and production,6303.93644121,1995
USA,Manufacture of other transport equipment,Manufacture and production,red,Germany,Manufacture of other transport equipment,Manufacture and production,5307.72715127,1995
USA,Aluminium production,Manufacture and production,red,Japan,Aluminium production,Manufacture and production,4761.44783801,1995
South Korea,Manufacture of other transport equipment,Manufacture and production,red,Russia,Fishing,"Agriculture, forestry and fishing",4301.80325459,1995
Russia,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,red,Taiwan,"Manufacture of basic iron, steel and ferro-alloys",Manufacture and production,4275.56934041,1995
China,Tanning and dressing of leather,Manufacture and production,red,RoW Asia and Pacific,Chemicals,Manufacture and production,3746.90969654,1995
Russia,"Manufacture of cement, lime and plaster",Manufacture and production,red,RoW Middle East,Construction,Utilities,3032.90941494,1995
Japan,Manufacture of fish products,Manufacture and production,red,USA,Hotels and restaurants,Utilities,2955.05946861,1995
Germany,Manufacture of motor vehicles,Manufacture and production,red,United Kingdom,Manufacture of motor vehicles,Manufacture and production,2783.54076389,1995
Japan,Manufacture of other transport equipment,Manufacture and production,red,USA,Manufacture of other transport equipment,Manufacture and production,2747.26814619,1995
USA,Manufacture of machinery,Manufacture and production,red,Germany,Manufacture of machinery,Manufacture and production,2631.09600682,1995
Germany,Manufacture of motor vehicles,Manufacture and production,red,France,Manufacture of motor vehicles,Manufacture and production,2591.2296982,1995
Japan,Plastics,Manufacture and production,red,USA,Manufacture of rubber and plastic products,Manufacture and production,2356.69067346,1995
Japan,Manufacture of motor vehicles,Manufacture and production,red,USA,Manufacture of motor vehicles,Manufacture and production,2351.00211052,1995
Japan,Manufacture of communication equipment,Manufacture and production,red,USA,Manufacture of motor vehicles,Manufacture and production,2308.43924987,1995
USA,Pulp,Manufacture and production,red,Japan,Paper,Manufacture and production,2268.27786302,1995
Germany,Manufacture of motor vehicles,Manufacture and production,red,Belgium,Manufacture of motor vehicles,Manufacture and production,2223.56714313,1995
