,year,country,sector,gas,length_ratio,length
0,2004,Precious metals prod.,Other countries,,,
1,2004,Glass prod.,Other countries,,,
2,2004,Other non-metallic products,Other countries,,,
3,2004,Petroleum Refinery,Other countries,,,
4,2004,Aluminium,Other countries,,,
5,2004,Plastic reproc.,Other countries,,,
6,2004,Casting of metals,Other countries,,,
7,2004,Plastic prod.,Other countries,,,
8,2004,Machinery and furniture,Other countries,,,
9,2004,Copper reproc.,Other countries,,,
0,2004,Wood and paper prod.,Other countries,,,
1,2004,Stone quarrying,Other countries,,,
2,2004,"Lead, zinc and tin",Other countries,,,
3,2004,Steel reproc.,Other countries,,,
4,2004,Wood and paper reproc.,Other countries,,,
5,2004,Textile,Other countries,,,
6,2004,Other petroleum,Other countries,,,
7,2004,Iron,Other countries,,,
8,2004,Precious metals,Other countries,,,
9,2004,"Iron, steel and ferro-alloys",Other countries,,,
0,2005,Iron,Other countries,,,
1,2005,Petroleum elec. prod.,Other countries,,,
2,2005,Non-ferrous metals,Other countries,,,
3,2005,Precious metals,Other countries,,,
4,2005,Non-ferrous metals prod.,Other countries,,,
5,2005,"Lead, zinc and tin prod.",Other countries,,,
6,2005,Crude Petroleum,Other countries,,,
7,2005,Coal elec. prod.,Other countries,,,
8,2005,Chemicals,Other countries,,,
9,2005,Chemical and fertilizer minerals,Other countries,,,
0,2005,Aluminium,Other countries,,,
1,2005,Glass prod.,Other countries,,,
2,2005,Copper,Other countries,,,
3,2005,Wood and paper reproc.,Other countries,,,
4,2005,Gas elec. prod.,Other countries,,,
5,2005,Other sources elec. prod.,Other countries,,,
6,2005,Textile,Other countries,,,
7,2005,Fertilizers,Other countries,,,
8,2005,Biomass and waste elec. prod.,Other countries,,,
9,2005,Petroleum Refinery,Other countries,,,
0,2006,Iron,Other countries,,,
1,2006,Precious metals,Other countries,,,
2,2006,Non-ferrous metals,Other countries,,,
3,2006,Non-ferrous metals prod.,Other countries,,,
4,2006,"Lead, zinc and tin prod.",Other countries,,,
5,2006,Copper prod.,Other countries,,,
6,2006,Crude Petroleum,Other countries,,,
7,2006,Precious metals prod.,Other countries,,,
8,2006,"Tide, wave and ocean elec. prod.",Other countries,,,
9,2006,Natural Gas,Other countries,,,
0,2006,Petroleum Refinery,Other countries,,,
1,2006,Other sources elec. prod.,Other countries,,,
2,2006,Nickel,Other countries,,,
3,2006,Textile,Other countries,,,
4,2006,Aluminium,Other countries,,,
5,2006,Glass prod.,Other countries,,,
6,2006,"Lead, zinc and tin",Other countries,,,
7,2006,Fertilizers,Other countries,,,
8,2006,Gas elec. prod.,Other countries,,,
9,2006,Biomass and waste elec. prod.,Other countries,,,
0,2007,Iron,Other countries,,,
1,2007,Non-ferrous metals,Other countries,,,
2,2007,Precious metals,Other countries,,,
3,2007,Non-ferrous metals prod.,Other countries,,,
4,2007,Other petroleum,Other countries,,,
5,2007,Petroleum elec. prod.,Other countries,,,
6,2007,Gaseous fuels distribution,Other countries,,,
7,2007,"Coal, lignite and peat",Other countries,,,
8,2007,Coal elec. prod.,Other countries,,,
9,2007,"Lead, zinc and tin prod.",Other countries,,,
0,2007,Copper,Other countries,,,
1,2007,Ceramic goods,Other countries,,,
2,2007,Plastic reproc.,Other countries,,,
3,2007,Other sources elec. prod.,Other countries,,,
4,2007,Wood and paper reproc.,Other countries,,,
5,2007,Wood and paper prod.,Other countries,,,
6,2007,Textile,Other countries,,,
7,2007,Petroleum Refinery,Other countries,,,
8,2007,Fertilizers,Other countries,,,
9,2007,Gas elec. prod.,Other countries,,,
0,2008,Iron,Other countries,,,
1,2008,Non-ferrous metals,Other countries,,,
2,2008,Chemical and fertilizer minerals,Other countries,,,
3,2008,Petroleum elec. prod.,Other countries,,,
4,2008,Precious metals,Other countries,,,
5,2008,Coal elec. prod.,Other countries,,,
6,2008,Natural Gas,Other countries,,,
7,2008,Precious metals reproc.,Other countries,,,
8,2008,Solar thermal elec. prod.,Other countries,,,
9,2008,Non-ferrous metals reproc.,Other countries,,,
0,2008,Textile,Other countries,,,
1,2008,Other sources elec. prod.,Other countries,,,
2,2008,"Lead, zinc and tin",Other countries,,,
3,2008,Aluminium prod.,Other countries,,,
4,2008,"Iron, steel and ferro-alloys",Other countries,,,
5,2008,Chemicals,Other countries,,,
6,2008,Petroleum Refinery,Other countries,,,
7,2008,Gaseous fuels distribution,Other countries,,,
8,2008,Biomass and waste elec. prod.,Other countries,,,
9,2008,Gas elec. prod.,Other countries,,,
0,2009,Iron,Other countries,,,
1,2009,Chemical and fertilizer minerals,Other countries,,,
2,2009,Petroleum elec. prod.,Other countries,,,
3,2009,Precious metals,Other countries,,,
4,2009,Coal elec. prod.,Other countries,,,
5,2009,Non-ferrous metals,Other countries,,,
6,2009,Copper prod.,Other countries,,,
7,2009,Nickel,Other countries,,,
8,2009,Wind elec. prod.,Other countries,,,
9,2009,Plastic reproc.,Other countries,,,
0,2009,Wood and paper prod.,Other countries,,,
1,2009,Ceramic goods,Other countries,,,
2,2009,Water,Other countries,,,
3,2009,Copper,Other countries,,,
4,2009,"Lead, zinc and tin",Other countries,,,
5,2009,Textile,Other countries,,,
6,2009,Gaseous fuels distribution,Other countries,,,
7,2009,Copper reproc.,Other countries,,,
8,2009,Fertilizers,Other countries,,,
9,2009,Gas elec. prod.,Other countries,,,
0,2010,Iron,Other countries,,,
1,2010,Other petroleum,Other countries,,,
2,2010,Chemical and fertilizer minerals,Other countries,,,
3,2010,Natural Gas,Other countries,,,
4,2010,Precious metals reproc.,Other countries,,,
5,2010,Solar thermal elec. prod.,Other countries,,,
6,2010,Non-ferrous metals reproc.,Other countries,,,
7,2010,"Tide, wave and ocean elec. prod.",Other countries,,,
8,2010,"Lead, zinc and tin prod.",Other countries,,,
9,2010,Construction materials reproc.,Other countries,,,
0,2010,Glass prod.,Other countries,,,
1,2010,Petroleum elec. prod.,Other countries,,,
2,2010,Aluminium prod.,Other countries,,,
3,2010,Plastic reproc.,Other countries,,,
4,2010,Fertilizers,Other countries,,,
5,2010,Aluminium,Other countries,,,
6,2010,Biomass and waste elec. prod.,Other countries,,,
7,2010,Other sources elec. prod.,Other countries,,,
8,2010,Gaseous fuels distribution,Other countries,,,
9,2010,Gas elec. prod.,Other countries,,,
0,2011,Iron,Other countries,,,
1,2011,Other petroleum,Other countries,,,
2,2011,Biomass and waste elec. prod.,Other countries,,,
3,2011,Precious metals,Other countries,,,
4,2011,Coal elec. prod.,Other countries,,,
5,2011,Uranium and thorium,Other countries,,,
6,2011,"Lead, zinc and tin prod.",Other countries,,,
7,2011,Natural Gas,Other countries,,,
8,2011,Precious metals reproc.,Other countries,,,
9,2011,Solar thermal elec. prod.,Other countries,,,
0,2011,Glass prod.,Other countries,,,
1,2011,Aluminium prod.,Other countries,,,
2,2011,Ceramic goods,Other countries,,,
3,2011,"Iron, steel and ferro-alloys",Other countries,,,
4,2011,Wood and paper reproc.,Other countries,,,
