,year,country,sector,gas,length_ratio,length
0,2017,"Iron, steel and ferro-alloys",Other countries,,,
1,2017,Wood and paper reproc.,Other countries,,,
2,2017,Precious metals prod.,Other countries,,,
3,2017,Plastic reproc.,Other countries,,,
4,2017,"Coal, lignite and peat",Other countries,,,
5,2017,Iron,Other countries,,,
6,2017,Lead reproc.,Other countries,,,
7,2017,Coke oven products,Other countries,,,
8,2017,Chemical and fertilizer minerals,Other countries,,,
9,2017,Natural Gas,Other countries,,,
0,2017,Glass prod.,Other countries,,,
1,2017,Crude Petroleum,Other countries,,,
2,2017,Processing Nuclear Fuel,Other countries,,,
3,2017,Other non-metallic products,Other countries,,,
4,2017,Textile,Other countries,,,
5,2017,Other petroleum,Other countries,,,
6,2017,Nickel,Other countries,,,
7,2017,Food Manufacture,Other countries,,,
8,2017,Ceramic goods,Other countries,,,
9,2017,Stone quarrying,Other countries,,,
0,2018,Other sources elec. prod.,Other countries,,,
1,2018,Petroleum elec. prod.,Other countries,,,
2,2018,Copper,Other countries,,,
3,2018,Other petroleum,Other countries,,,
4,2018,Wood and paper prod.,Other countries,,,
5,2018,Water,Other countries,,,
6,2018,Non-ferrous metals,Other countries,,,
7,2018,"Lead, zinc and tin prod.",Other countries,,,
8,2018,Natural Gas,Other countries,,,
9,2018,Precious metals reproc.,Other countries,,,
0,2018,Crude Petroleum,Other countries,,,
1,2018,Chemical and fertilizer minerals,Other countries,,,
2,2018,"Lead, zinc and tin",Other countries,,,
3,2018,Copper reproc.,Other countries,,,
4,2018,Chemicals,Other countries,,,
5,2018,Textile,Other countries,,,
6,2018,Fertilizers,Other countries,,,
7,2018,Precious metals,Other countries,,,
8,2018,Gaseous fuels distribution,Other countries,,,
9,2018,Gas elec. prod.,Other countries,,,
0,2019,Other petroleum,Other countries,,,
1,2019,Coal elec. prod.,Other countries,,,
2,2019,Iron,Other countries,,,
3,2019,Other sources elec. prod.,Other countries,,,
4,2019,Non-ferrous metals prod.,Other countries,,,
5,2019,Water,Other countries,,,
6,2019,Crude Petroleum,Other countries,,,
7,2019,"Lead, zinc and tin prod.",Other countries,,,
8,2019,Processing Nuclear Fuel,Other countries,,,
9,2019,Copper,Other countries,,,
0,2019,Petroleum Refinery,Other countries,,,
1,2019,Chemical and fertilizer minerals,Other countries,,,
2,2019,Chemicals,Other countries,,,
3,2019,Biomass and waste elec. prod.,Other countries,,,
4,2019,"Lead, zinc and tin",Other countries,,,
5,2019,Petroleum elec. prod.,Other countries,,,
6,2019,Precious metals,Other countries,,,
7,2019,Copper reproc.,Other countries,,,
8,2019,Gaseous fuels distribution,Other countries,,,
9,2019,Gas elec. prod.,Other countries,,,
0,2020,Other petroleum,Other countries,,,
1,2020,Coal elec. prod.,Other countries,,,
2,2020,Other sources elec. prod.,Other countries,,,
3,2020,Water,Other countries,,,
4,2020,Copper,Other countries,,,
5,2020,Iron,Other countries,,,
6,2020,Plastic reproc.,Other countries,,,
7,2020,"Lead, zinc and tin prod.",Other countries,,,
8,2020,Natural Gas,Other countries,,,
9,2020,Precious metals reproc.,Other countries,,,
0,2020,Chemicals,Other countries,,,
1,2020,Fertilizers,Other countries,,,
2,2020,Crude Petroleum,Other countries,,,
3,2020,Textile,Other countries,,,
4,2020,"Lead, zinc and tin",Other countries,,,
5,2020,Petroleum elec. prod.,Other countries,,,
6,2020,Copper reproc.,Other countries,,,
7,2020,Precious metals,Other countries,,,
8,2020,Gaseous fuels distribution,Other countries,,,
9,2020,Gas elec. prod.,Other countries,,,
