,year,country,sector,gas,length_ratio,length
0,2013,Iron,Other countries,,,
1,2013,"Agriculture, forestry and fishing",Other countries,,,
2,2013,Coke oven products,Other countries,,,
3,2013,"Iron, steel and ferro-alloys",Other countries,,,
4,2013,Food Manufacture,Other countries,,,
5,2013,Crude Petroleum,Other countries,,,
6,2013,Ceramic goods,Other countries,,,
7,2013,Ash reproc. into clinker,Other countries,,,
8,2013,Machinery and furniture,Other countries,,,
9,2013,Plastic reproc.,Other countries,,,
0,2013,Processing Nuclear Fuel,Other countries,,,
1,2013,Copper,Other countries,,,
2,2013,Natural Gas,Other countries,,,
3,2013,Nickel,Other countries,,,
4,2013,Precious metals prod.,Other countries,,,
5,2013,Textile,Other countries,,,
6,2013,Wood and paper reproc.,Other countries,,,
7,2013,Recycling,Other countries,,,
8,2013,Stone quarrying,Other countries,,,
9,2013,Precious metals,Other countries,,,
0,2014,Gas elec. prod.,Other countries,,,
1,2014,Non-ferrous metals,Other countries,,,
2,2014,Aluminium,Other countries,,,
3,2014,Biomass and waste elec. prod.,Other countries,,,
4,2014,Chemical and fertilizer minerals,Other countries,,,
5,2014,Fertilizers,Other countries,,,
6,2014,Crude Petroleum,Other countries,,,
7,2014,Nickel,Other countries,,,
8,2014,Glass prod.,Other countries,,,
9,2014,"Coal, lignite and peat",Other countries,,,
0,2014,Natural Gas,Other countries,,,
1,2014,Ceramic goods,Other countries,,,
2,2014,Processing Nuclear Fuel,Other countries,,,
3,2014,Coke oven products,Other countries,,,
4,2014,"Lead, zinc and tin",Other countries,,,
5,2014,Wood and paper prod.,Other countries,,,
6,2014,Wood and paper reproc.,Other countries,,,
7,2014,Copper reproc.,Other countries,,,
8,2014,Precious metals prod.,Other countries,,,
9,2014,Textile,Other countries,,,
0,2015,Gas elec. prod.,Other countries,,,
1,2015,Non-ferrous metals,Other countries,,,
2,2015,Gaseous fuels distribution,Other countries,,,
3,2015,Fertilizers,Other countries,,,
4,2015,Petroleum elec. prod.,Other countries,,,
5,2015,Aluminium,Other countries,,,
6,2015,Copper reproc.,Other countries,,,
7,2015,Crude Petroleum,Other countries,,,
8,2015,Biomass and waste elec. prod.,Other countries,,,
9,2015,Glass prod.,Other countries,,,
0,2015,"Tide, wave and ocean elec. prod.",Other countries,,,
1,2015,Textile,Other countries,,,
2,2015,Construction materials reproc.,Other countries,,,
3,2015,Solar thermal elec. prod.,Other countries,,,
4,2015,Non-ferrous metals reproc.,Other countries,,,
5,2015,Precious metals reproc.,Other countries,,,
6,2015,Natural Gas,Other countries,,,
7,2015,"Lead, zinc and tin",Other countries,,,
8,2015,Other petroleum,Other countries,,,
9,2015,Iron,Other countries,,,
0,2016,Gas elec. prod.,Other countries,,,
1,2016,Gaseous fuels distribution,Other countries,,,
2,2016,Fertilizers,Other countries,,,
3,2016,Biomass and waste elec. prod.,Other countries,,,
4,2016,Crude Petroleum,Other countries,,,
5,2016,Petroleum elec. prod.,Other countries,,,
6,2016,Copper reproc.,Other countries,,,
7,2016,Aluminium,Other countries,,,
8,2016,Chemicals,Other countries,,,
9,2016,Textile,Other countries,,,
0,2016,Solar thermal elec. prod.,Other countries,,,
1,2016,Non-ferrous metals reproc.,Other countries,,,
2,2016,Precious metals reproc.,Other countries,,,
3,2016,Natural Gas,Other countries,,,
4,2016,Coal elec. prod.,Other countries,,,
5,2016,"Lead, zinc and tin",Other countries,,,
6,2016,Precious metals,Other countries,,,
7,2016,Copper,Other countries,,,
8,2016,Iron,Other countries,,,
9,2016,Other petroleum,Other countries,,,
0,2017,Gaseous fuels distribution,Other countries,,,
1,2017,Gas elec. prod.,Other countries,,,
2,2017,Petroleum elec. prod.,Other countries,,,
3,2017,Biomass and waste elec. prod.,Other countries,,,
4,2017,Fertilizers,Other countries,,,
5,2017,Non-ferrous metals,Other countries,,,
6,2017,Crude Petroleum,Other countries,,,
7,2017,Aluminium,Other countries,,,
8,2017,Water,Other countries,,,
9,2017,Aluminium prod.,Other countries,,,
0,2017,Solar thermal elec. prod.,Other countries,,,
1,2017,Precious metals reproc.,Other countries,,,
2,2017,Natural Gas,Other countries,,,
3,2017,Copper,Other countries,,,
4,2017,Non-ferrous metals prod.,Other countries,,,
5,2017,Coal elec. prod.,Other countries,,,
6,2017,Precious metals,Other countries,,,
7,2017,Other petroleum,Other countries,,,
8,2017,"Lead, zinc and tin",Other countries,,,
9,2017,Iron,Other countries,,,
0,2018,Gas elec. prod.,Other countries,,,
1,2018,Gaseous fuels distribution,Other countries,,,
2,2018,Petroleum elec. prod.,Other countries,,,
3,2018,Biomass and waste elec. prod.,Other countries,,,
4,2018,Aluminium,Other countries,,,
5,2018,Crude Petroleum,Other countries,,,
6,2018,Water,Other countries,,,
7,2018,Copper reproc.,Other countries,,,
8,2018,Non-ferrous metals,Other countries,,,
9,2018,"Coal, lignite and peat",Other countries,,,
0,2018,Solar thermal elec. prod.,Other countries,,,
1,2018,Non-ferrous metals reproc.,Other countries,,,
2,2018,Precious metals reproc.,Other countries,,,
3,2018,Natural Gas,Other countries,,,
4,2018,Copper,Other countries,,,
5,2018,Coal elec. prod.,Other countries,,,
6,2018,"Lead, zinc and tin",Other countries,,,
7,2018,Other petroleum,Other countries,,,
8,2018,Iron,Other countries,,,
9,2018,Precious metals,Other countries,,,
0,2019,Gaseous fuels distribution,Other countries,,,
1,2019,Fertilizers,Other countries,,,
2,2019,Crude Petroleum,Other countries,,,
3,2019,Gas elec. prod.,Other countries,,,
4,2019,Aluminium,Other countries,,,
5,2019,Biomass and waste elec. prod.,Other countries,,,
6,2019,Water,Other countries,,,
7,2019,Textile,Other countries,,,
8,2019,Glass prod.,Other countries,,,
9,2019,Nickel,Other countries,,,
0,2019,Construction materials reproc.,Other countries,,,
1,2019,Solar thermal elec. prod.,Other countries,,,
2,2019,Non-ferrous metals reproc.,Other countries,,,
3,2019,Natural Gas,Other countries,,,
4,2019,Precious metals reproc.,Other countries,,,
5,2019,Coke oven products,Other countries,,,
6,2019,Copper,Other countries,,,
7,2019,Iron,Other countries,,,
8,2019,"Lead, zinc and tin",Other countries,,,
9,2019,Precious metals,Other countries,,,
0,2020,Gaseous fuels distribution,Other countries,,,
1,2020,Gas elec. prod.,Other countries,,,
2,2020,Fertilizers,Other countries,,,
3,2020,Aluminium,Other countries,,,
4,2020,Biomass and waste elec. prod.,Other countries,,,
5,2020,Crude Petroleum,Other countries,,,
6,2020,Water,Other countries,,,
7,2020,Non-ferrous metals,Other countries,,,
8,2020,Glass prod.,Other countries,,,
9,2020,Nickel,Other countries,,,
0,2020,Petroleum Refinery,Other countries,,,
1,2020,Precious metals reproc.,Other countries,,,
2,2020,Natural Gas,Other countries,,,
3,2020,Coke oven products,Other countries,,,
4,2020,Wind elec. prod.,Other countries,,,
5,2020,Non-ferrous metals prod.,Other countries,,,
6,2020,Copper,Other countries,,,
7,2020,"Lead, zinc and tin",Other countries,,,
8,2020,Iron,Other countries,,,
9,2020,Precious metals,Other countries,,,
