,year,country,sector,coal,length_ratio,length
0,2019,Finland,Other sources elec. prod.,-5.205345690339412,0.16871141535226816,-0.07229646792138071
1,2019,Finland,Petroleum elec. prod.,-4.910610654013659,0.15915870394931472,-0.06820292575018971
2,2019,Finland,Gas elec. prod.,-4.52741653499946,0.14673892896808086,-0.06288078520832584
3,2019,Finland,Coal elec. prod.,-2.692842411471524,0.08727821005301042,-0.03740058904821561
4,2019,Finland,Wind elec. prod.,-2.1819059807428376,0.07071815554150071,-0.030304249732539413
5,2019,Finland,Gaseous fuels distribution,-1.9290709948848423,0.06252347437098046,-0.02679265270673392
6,2019,Finland,Water,-1.6721598418038663,0.05419667979583507,-0.023224442247275923
7,2019,Finland,Other sectors,-7.734195527929469,0.2506744319690095,-0.10741938233235375
8,2019,Turkey,Ceramic goods,-13.791867104269405,0.7072033896646448,-0.18725838815032977
9,2019,Turkey,Gas elec. prod.,-5.710113946485308,0.29279661033535515,-0.07752878748683384
10,2019,Turkey,Other sectors,0.4373044048789332,-0.021931799203736113,0.00580725916779868
11,2019,Denmark,Coke oven products,-25.62508890290911,1.0,-0.3144471764684853
12,2019,Denmark,Other sectors,2.9848921971781657,-0.10433044980826844,0.03280641536189704
13,2019,Poland,Other sectors,11.854872186239948,-1.0,-0.16465100258666596
14,2019,RoW Middle East,Gas elec. prod.,-2.888970632259401,0.2853770665059488,-0.0401245921147139
15,2019,RoW Middle East,Ash reproc. into clinker,-2.0981098218254557,0.20725459077844494,-0.029140414192020216
16,2019,RoW Middle East,Coal elec. prod.,-1.3737251917988402,0.13569873678995384,-0.01907951655276167
17,2019,RoW Middle East,Water,-0.8075657341323423,0.07977261438520492,-0.011216190751838087
18,2019,RoW Middle East,"Lead, zinc and tin",-0.7628643358826181,0.07535693990282236,-0.010595337998369696
19,2019,RoW Middle East,Coke oven products,-0.6926720969984368,0.068423240058118,-0.009620445791644956
20,2019,RoW Middle East,Other sectors,-1.4994376529137643,0.14811681157950707,-0.020825522957135613
