,year,country,sector,all three fossil fuels,length_ratio,length
0,2005,Malta,Petroleum Refinery,-17.98860434822054,0.27096249800769207,-0.2498417270586186
1,2005,Malta,Petroleum elec. prod.,-12.538709373150127,0.188870684338405,-0.17414874129375177
2,2005,Malta,Precious metals prod.,-6.026314770852388,0.0907744298824575,-0.08369881626183873
3,2005,Malta,Biomass and waste elec. prod.,-5.907677280075774,0.0889873923649318,-0.08205107333438574
4,2005,Malta,Gas elec. prod.,-5.206198257229329,0.07842100796672972,-0.07230830912818512
5,2005,Malta,Other sectors,-18.72029679341037,0.2819839874397838,-0.26000412213069957
6,2005,USA,Petroleum elec. prod.,-6.2254244077659076,0.19597030088402204,-0.08646422788563761
7,2005,USA,Coal elec. prod.,-3.553750145859931,0.11186859557431084,-0.049357640914721265
8,2005,USA,Coke oven products,-3.361309047401228,0.1058107371060016,-0.046684847880572616
9,2005,USA,Petroleum Refinery,-2.855532353701168,0.08988937908246142,-0.03966017157918289
10,2005,USA,Gaseous fuels distribution,-2.826675466280482,0.08898099235410378,-0.03925938147611781
11,2005,USA,Water,-2.635132409835972,0.08295140337429854,-0.03659906124772183
12,2005,USA,Iron,-1.6976348479365546,0.05343989263227071,-0.023578261776896592
13,2005,USA,Other sectors,-8.611724306002767,0.2710886989925311,-0.11960728202781622
14,2005,Hungary,Coal elec. prod.,-4.850679982266469,0.4320094339788611,0.3505365906694637
15,2005,Hungary,Nickel,-3.5824238471153054,0.31905648365232403,0.25888548539415857
16,2005,Hungary,Wind elec. prod.,-2.7950768554497976,0.24893408236881476,0.20198749766021445
17,2005,Hungary,Other sectors,69.64966999294782,-0.8611711291690343,-0.6987624988223213
18,2005,RoW Asia and Pacific,Other sectors,41.41880248220387,-1.0,-0.5752611455861649
19,2005,Russia,Non-ferrous metals prod.,-2.308243783440707,0.21388709563297054,0.07328183481545895
20,2005,Russia,Aluminium prod.,-2.26269749054866,0.20966667300109096,0.07183583680774581
21,2005,Russia,Coal elec. prod.,-1.8444615670469933,0.17091198529917012,0.05855773504058584
22,2005,Russia,Petroleum elec. prod.,-1.6911556799995928,0.15670631466799997,0.053690598921151085
23,2005,Russia,Coke oven products,-0.9721873897836097,0.09008508490461895,0.030864883604970736
24,2005,Russia,Processing Nuclear Fuel,-0.9086168718118219,0.08419449676379377,0.02884665475472443
25,2005,Russia,"Lead, zinc and tin prod.",-0.8045168144512027,0.07454834973035568,0.025541699159258982
26,2005,Russia,Other sectors,35.460465100563084,-0.7666738915047497,-0.26267722841487573
27,2005,Finland,Ceramic goods,-3.6987204647819976,1.0,0.6508995573637305
28,2005,Finland,Other sectors,50.56348859497059,-0.931836161319768,-0.6065317449385548
29,2005,Bulgaria,"Iron, steel and ferro-alloys",-22.738072830197847,0.35281503562948374,-0.31580656708608124
30,2005,Bulgaria,Steel reproc.,-15.662655047646837,0.24302940007074247,-0.21753687566176164
31,2005,Bulgaria,Casting of metals,-12.642027440328494,0.19615986786113215,-0.17558371444900686
