,year,country,sector,oil,length_ratio,length
2,2003,Copper,Other countries,,,
3,2003,Non-ferrous metals reproc.,Other countries,,,
4,2003,Uranium and thorium,Other countries,,,
5,2003,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2003,Glass reproc.,Other countries,,,
7,2003,Crude Petroleum,Other countries,,,
8,2003,Precious metals reproc.,Other countries,,,
9,2003,Geothermal elec. prod.,Other countries,,,
0,2003,Processing Nuclear Fuel,Other countries,,,
1,2003,Construction products,Other countries,,,
2,2003,Ceramic goods,Other countries,,,
3,2003,Other petroleum,Other countries,,,
4,2003,Coke oven products,Other countries,,,
5,2003,Other sources elec. prod.,Other countries,,,
6,2003,Fertilizers,Other countries,,,
7,2003,Chemicals,Other countries,,,
8,2003,Petroleum elec. prod.,Other countries,,,
9,2003,Petroleum Refinery,Other countries,,,
0,2004,Natural Gas,Other countries,,,
1,2004,Copper,Other countries,,,
2,2004,Gaseous fuels distribution,Other countries,,,
3,2004,Non-ferrous metals reproc.,Other countries,,,
4,2004,Copper reproc.,Other countries,,,
5,2004,Water,Other countries,,,
6,2004,Uranium and thorium,Other countries,,,
7,2004,Crude Petroleum,Other countries,,,
8,2004,Precious metals reproc.,Other countries,,,
9,2004,Glass reproc.,Other countries,,,
0,2004,Construction products,Other countries,,,
1,2004,Coke oven products,Other countries,,,
2,2004,Plastic prod.,Other countries,,,
3,2004,Ceramic goods,Other countries,,,
4,2004,Other sources elec. prod.,Other countries,,,
5,2004,"Coal, lignite and peat",Other countries,,,
6,2004,Fertilizers,Other countries,,,
7,2004,Chemicals,Other countries,,,
8,2004,Petroleum elec. prod.,Other countries,,,
9,2004,Petroleum Refinery,Other countries,,,
0,2005,Copper,Other countries,,,
1,2005,Non-ferrous metals reproc.,Other countries,,,
2,2005,Copper reproc.,Other countries,,,
3,2005,Crude Petroleum,Other countries,,,
4,2005,Precious metals reproc.,Other countries,,,
5,2005,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2005,Construction materials reproc.,Other countries,,,
7,2005,Solar thermal elec. prod.,Other countries,,,
8,2005,Uranium and thorium,Other countries,,,
9,2005,Glass reproc.,Other countries,,,
0,2005,Other sources elec. prod.,Other countries,,,
1,2005,Gas elec. prod.,Other countries,,,
2,2005,"Coal, lignite and peat",Other countries,,,
3,2005,Plastic prod.,Other countries,,,
4,2005,Coke oven products,Other countries,,,
5,2005,Ceramic goods,Other countries,,,
6,2005,Fertilizers,Other countries,,,
7,2005,Chemicals,Other countries,,,
8,2005,Petroleum elec. prod.,Other countries,,,
9,2005,Petroleum Refinery,Other countries,,,
0,2006,Copper,Other countries,,,
1,2006,Non-ferrous metals reproc.,Other countries,,,
2,2006,Copper reproc.,Other countries,,,
3,2006,Crude Petroleum,Other countries,,,
4,2006,Precious metals reproc.,Other countries,,,
5,2006,Construction materials reproc.,Other countries,,,
6,2006,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2006,Solar thermal elec. prod.,Other countries,,,
8,2006,Uranium and thorium,Other countries,,,
9,2006,Nickel,Other countries,,,
0,2006,Coal elec. prod.,Other countries,,,
1,2006,Non-ferrous metals,Other countries,,,
2,2006,Gaseous fuels distribution,Other countries,,,
3,2006,Ceramic goods,Other countries,,,
4,2006,Plastic prod.,Other countries,,,
5,2006,Coke oven products,Other countries,,,
6,2006,Fertilizers,Other countries,,,
7,2006,Chemicals,Other countries,,,
8,2006,Petroleum elec. prod.,Other countries,,,
9,2006,Petroleum Refinery,Other countries,,,
0,2007,Copper,Other countries,,,
1,2007,Non-ferrous metals reproc.,Other countries,,,
2,2007,Crude Petroleum,Other countries,,,
3,2007,Construction materials reproc.,Other countries,,,
4,2007,Precious metals reproc.,Other countries,,,
5,2007,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2007,Solar thermal elec. prod.,Other countries,,,
7,2007,Uranium and thorium,Other countries,,,
8,2007,Nuclear elec. prod.,Other countries,,,
9,2007,Water,Other countries,,,
0,2007,Coal elec. prod.,Other countries,,,
1,2007,Other sources elec. prod.,Other countries,,,
2,2007,Plastic prod.,Other countries,,,
3,2007,Ceramic goods,Other countries,,,
4,2007,Non-ferrous metals,Other countries,,,
5,2007,Coke oven products,Other countries,,,
6,2007,Fertilizers,Other countries,,,
7,2007,Chemicals,Other countries,,,
8,2007,Petroleum elec. prod.,Other countries,,,
9,2007,Petroleum Refinery,Other countries,,,
0,2008,Copper,Other countries,,,
1,2008,Non-ferrous metals reproc.,Other countries,,,
2,2008,Crude Petroleum,Other countries,,,
3,2008,Precious metals reproc.,Other countries,,,
4,2008,Construction materials reproc.,Other countries,,,
5,2008,Solar thermal elec. prod.,Other countries,,,
6,2008,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2008,Uranium and thorium,Other countries,,,
8,2008,Glass reproc.,Other countries,,,
9,2008,Nuclear elec. prod.,Other countries,,,
0,2008,"Coal, lignite and peat",Other countries,,,
1,2008,Gas elec. prod.,Other countries,,,
2,2008,Plastic prod.,Other countries,,,
3,2008,Ceramic goods,Other countries,,,
4,2008,Gaseous fuels distribution,Other countries,,,
5,2008,Coke oven products,Other countries,,,
6,2008,Chemicals,Other countries,,,
7,2008,Fertilizers,Other countries,,,
8,2008,Petroleum elec. prod.,Other countries,,,
9,2008,Petroleum Refinery,Other countries,,,
0,2009,Copper,Other countries,,,
1,2009,Water,Other countries,,,
2,2009,Non-ferrous metals reproc.,Other countries,,,
3,2009,Copper reproc.,Other countries,,,
4,2009,Crude Petroleum,Other countries,,,
5,2009,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2009,Precious metals reproc.,Other countries,,,
7,2009,Solar thermal elec. prod.,Other countries,,,
8,2009,Construction materials reproc.,Other countries,,,
9,2009,Uranium and thorium,Other countries,,,
0,2009,Non-ferrous metals prod.,Other countries,,,
1,2009,Gaseous fuels distribution,Other countries,,,
2,2009,Gas elec. prod.,Other countries,,,
3,2009,Plastic prod.,Other countries,,,
4,2009,Non-ferrous metals,Other countries,,,
5,2009,Coke oven products,Other countries,,,
6,2009,Chemicals,Other countries,,,
7,2009,Fertilizers,Other countries,,,
8,2009,Petroleum elec. prod.,Other countries,,,
9,2009,Petroleum Refinery,Other countries,,,
0,2010,Copper,Other countries,,,
1,2010,Copper reproc.,Other countries,,,
2,2010,Non-ferrous metals reproc.,Other countries,,,
3,2010,Crude Petroleum,Other countries,,,
4,2010,Solar thermal elec. prod.,Other countries,,,
5,2010,Precious metals reproc.,Other countries,,,
6,2010,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2010,Uranium and thorium,Other countries,,,
8,2010,Construction materials reproc.,Other countries,,,
9,2010,Geothermal elec. prod.,Other countries,,,
0,2010,Plastic prod.,Other countries,,,
1,2010,Non-ferrous metals,Other countries,,,
2,2010,"Coal, lignite and peat",Other countries,,,
3,2010,Ceramic goods,Other countries,,,
4,2010,Gas elec. prod.,Other countries,,,
5,2010,Coke oven products,Other countries,,,
6,2010,Fertilizers,Other countries,,,
7,2010,Chemicals,Other countries,,,
8,2010,Petroleum elec. prod.,Other countries,,,
9,2010,Petroleum Refinery,Other countries,,,
0,2011,Copper,Other countries,,,
1,2011,Copper reproc.,Other countries,,,
2,2011,Non-ferrous metals reproc.,Other countries,,,
3,2011,Crude Petroleum,Other countries,,,
4,2011,Precious metals reproc.,Other countries,,,
5,2011,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2011,Solar thermal elec. prod.,Other countries,,,
7,2011,Construction materials reproc.,Other countries,,,
8,2011,Other petroleum,Other countries,,,
9,2011,Uranium and thorium,Other countries,,,
0,2011,"Coal, lignite and peat",Other countries,,,
1,2011,Gas elec. prod.,Other countries,,,
2,2011,Ceramic goods,Other countries,,,
3,2011,Plastic prod.,Other countries,,,
4,2011,Coke oven products,Other countries,,,
5,2011,Gaseous fuels distribution,Other countries,,,
6,2011,Fertilizers,Other countries,,,
7,2011,Chemicals,Other countries,,,
8,2011,Petroleum elec. prod.,Other countries,,,
9,2011,Petroleum Refinery,Other countries,,,
0,2012,Copper,Other countries,,,
1,2012,Non-ferrous metals reproc.,Other countries,,,
2,2012,Copper reproc.,Other countries,,,
3,2012,Crude Petroleum,Other countries,,,
4,2012,Precious metals reproc.,Other countries,,,
5,2012,Solar thermal elec. prod.,Other countries,,,
6,2012,"Tide, wave and ocean elec. prod.",Other countries,,,
7,2012,Construction materials reproc.,Other countries,,,
8,2012,Uranium and thorium,Other countries,,,
9,2012,Other petroleum,Other countries,,,
0,2012,Aluminium prod.,Other countries,,,
1,2012,Plastic prod.,Other countries,,,
2,2012,Ceramic goods,Other countries,,,
3,2012,Coke oven products,Other countries,,,
4,2012,Natural Gas,Other countries,,,
5,2012,Gaseous fuels distribution,Other countries,,,
6,2012,Fertilizers,Other countries,,,
7,2012,Chemicals,Other countries,,,
8,2012,Petroleum elec. prod.,Other countries,,,
9,2012,Petroleum Refinery,Other countries,,,
0,2013,Copper,Other countries,,,
1,2013,Copper reproc.,Other countries,,,
2,2013,Non-ferrous metals reproc.,Other countries,,,
3,2013,Crude Petroleum,Other countries,,,
4,2013,"Tide, wave and ocean elec. prod.",Other countries,,,
5,2013,Solar thermal elec. prod.,Other countries,,,
6,2013,Precious metals reproc.,Other countries,,,
7,2013,Uranium and thorium,Other countries,,,
8,2013,Construction materials reproc.,Other countries,,,
9,2013,Other petroleum,Other countries,,,
0,2013,"Iron, steel and ferro-alloys",Other countries,,,
1,2013,Processing Nuclear Fuel,Other countries,,,
2,2013,Gas elec. prod.,Other countries,,,
3,2013,Ceramic goods,Other countries,,,
4,2013,Gaseous fuels distribution,Other countries,,,
5,2013,Fertilizers,Other countries,,,
6,2013,Coke oven products,Other countries,,,
7,2013,Chemicals,Other countries,,,
8,2013,Petroleum elec. prod.,Other countries,,,
9,2013,Petroleum Refinery,Other countries,,,
0,2014,Copper,Other countries,,,
1,2014,Copper reproc.,Other countries,,,
2,2014,Non-ferrous metals reproc.,Other countries,,,
3,2014,Crude Petroleum,Other countries,,,
4,2014,Precious metals reproc.,Other countries,,,
5,2014,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2014,Uranium and thorium,Other countries,,,
7,2014,Solar thermal elec. prod.,Other countries,,,
8,2014,Construction materials reproc.,Other countries,,,
9,2014,Geothermal elec. prod.,Other countries,,,
0,2014,Gas elec. prod.,Other countries,,,
1,2014,Aluminium prod.,Other countries,,,
2,2014,Ceramic goods,Other countries,,,
3,2014,Processing Nuclear Fuel,Other countries,,,
4,2014,Coke oven products,Other countries,,,
5,2014,Gaseous fuels distribution,Other countries,,,
6,2014,Chemicals,Other countries,,,
7,2014,Fertilizers,Other countries,,,
8,2014,Petroleum elec. prod.,Other countries,,,
9,2014,Petroleum Refinery,Other countries,,,
0,2015,Copper,Other countries,,,
1,2015,Other petroleum,Other countries,,,
2,2015,Copper reproc.,Other countries,,,
3,2015,Nickel,Other countries,,,
4,2015,Geothermal elec. prod.,Other countries,,,
5,2015,Non-ferrous metals reproc.,Other countries,,,
6,2015,Uranium and thorium,Other countries,,,
7,2015,"Tide, wave and ocean elec. prod.",Other countries,,,
8,2015,Natural Gas,Other countries,,,
9,2015,Other sources elec. prod.,Other countries,,,
0,2015,Processing Nuclear Fuel,Other countries,,,
1,2015,Ceramic goods,Other countries,,,
2,2015,Water,Other countries,,,
3,2015,Fertilizers,Other countries,,,
4,2015,Glass prod.,Other countries,,,
5,2015,Aluminium prod.,Other countries,,,
6,2015,Chemicals,Other countries,,,
7,2015,Gaseous fuels distribution,Other countries,,,
8,2015,Petroleum elec. prod.,Other countries,,,
9,2015,Petroleum Refinery,Other countries,,,
0,2016,Natural Gas,Other countries,,,
1,2016,Copper,Other countries,,,
2,2016,Copper reproc.,Other countries,,,
3,2016,Other petroleum,Other countries,,,
4,2016,"Coal, lignite and peat",Other countries,,,
5,2016,Nickel,Other countries,,,
6,2016,Non-ferrous metals reproc.,Other countries,,,
7,2016,Precious metals,Other countries,,,
8,2016,Uranium and thorium,Other countries,,,
9,2016,Non-ferrous metals,Other countries,,,
0,2016,Precious metals prod.,Other countries,,,
1,2016,Sand and clay,Other countries,,,
2,2016,Fertilizers,Other countries,,,
3,2016,Processing Nuclear Fuel,Other countries,,,
4,2016,Chemicals,Other countries,,,
5,2016,Aluminium prod.,Other countries,,,
6,2016,Gaseous fuels distribution,Other countries,,,
7,2016,Glass prod.,Other countries,,,
8,2016,Petroleum elec. prod.,Other countries,,,
9,2016,Petroleum Refinery,Other countries,,,
0,2017,Natural Gas,Other countries,,,
1,2017,Copper,Other countries,,,
2,2017,Other petroleum,Other countries,,,
3,2017,Copper reproc.,Other countries,,,
4,2017,Non-ferrous metals reproc.,Other countries,,,
5,2017,Nickel,Other countries,,,
6,2017,Uranium and thorium,Other countries,,,
7,2017,Geothermal elec. prod.,Other countries,,,
8,2017,Crude Petroleum,Other countries,,,
9,2017,"Tide, wave and ocean elec. prod.",Other countries,,,
0,2017,Processing Nuclear Fuel,Other countries,,,
1,2017,"Iron, steel and ferro-alloys",Other countries,,,
2,2017,Aluminium prod.,Other countries,,,
3,2017,Precious metals prod.,Other countries,,,
4,2017,Glass prod.,Other countries,,,
5,2017,Fertilizers,Other countries,,,
