,year,country,sector,oil,length_ratio,length
0,2010,"Iron, steel and ferro-alloys",Other countries,,,
1,2010,Wood and paper reproc.,Other countries,,,
2,2010,Copper prod.,Other countries,,,
3,2010,Other non-metallic products,Other countries,,,
4,2010,Wood and paper prod.,Other countries,,,
5,2010,Natural Gas,Other countries,,,
6,2010,Construction products,Other countries,,,
7,2010,Precious metals prod.,Other countries,,,
8,2010,Non-ferrous metals prod.,Other countries,,,
9,2010,Copper,Other countries,,,
0,2010,Non-ferrous metals,Other countries,,,
1,2010,Plastic prod.,Other countries,,,
2,2010,Glass reproc.,Other countries,,,
3,2010,Sand and clay,Other countries,,,
4,2010,Chemical and fertilizer minerals,Other countries,,,
5,2010,"Agriculture, forestry and fishing",Other countries,,,
6,2010,Coke oven products,Other countries,,,
7,2010,Textile,Other countries,,,
8,2010,Stone quarrying,Other countries,,,
9,2010,Crude Petroleum,Other countries,,,
0,2011,Fertilizers,Other countries,,,
1,2011,Non-ferrous metals,Other countries,,,
2,2011,Non-ferrous metals prod.,Other countries,,,
3,2011,Precious metals prod.,Other countries,,,
4,2011,"Lead, zinc and tin prod.",Other countries,,,
5,2011,Coke oven products,Other countries,,,
6,2011,Other petroleum,Other countries,,,
7,2011,"Iron, steel and ferro-alloys",Other countries,,,
8,2011,Natural Gas,Other countries,,,
9,2011,"Lead, zinc and tin",Other countries,,,
0,2011,Electricity distribution,Other countries,,,
1,2011,Plastic prod.,Other countries,,,
2,2011,Petroleum elec. prod.,Other countries,,,
3,2011,"Coal, lignite and peat",Other countries,,,
4,2011,Ceramic goods,Other countries,,,
5,2011,Chemicals,Other countries,,,
6,2011,Precious metals,Other countries,,,
7,2011,Water,Other countries,,,
8,2011,Gaseous fuels distribution,Other countries,,,
9,2011,Petroleum Refinery,Other countries,,,
0,2012,Coke oven products,Other countries,,,
1,2012,Precious metals prod.,Other countries,,,
2,2012,Non-ferrous metals prod.,Other countries,,,
3,2012,Fertilizers,Other countries,,,
4,2012,"Iron, steel and ferro-alloys",Other countries,,,
5,2012,Gas elec. prod.,Other countries,,,
6,2012,"Lead, zinc and tin prod.",Other countries,,,
7,2012,Nickel,Other countries,,,
8,2012,Construction products,Other countries,,,
9,2012,Non-ferrous metals,Other countries,,,
0,2012,Chemicals,Other countries,,,
1,2012,Ceramic goods,Other countries,,,
2,2012,Processing Nuclear Fuel,Other countries,,,
3,2012,Precious metals,Other countries,,,
4,2012,Natural Gas,Other countries,,,
5,2012,Electricity distribution,Other countries,,,
6,2012,Gaseous fuels distribution,Other countries,,,
7,2012,Water,Other countries,,,
8,2012,Petroleum elec. prod.,Other countries,,,
9,2012,Petroleum Refinery,Other countries,,,
0,2013,Fertilizers,Other countries,,,
1,2013,Non-ferrous metals,Other countries,,,
2,2013,"Lead, zinc and tin",Other countries,,,
3,2013,Precious metals prod.,Other countries,,,
4,2013,Non-ferrous metals prod.,Other countries,,,
5,2013,Natural Gas,Other countries,,,
6,2013,"Lead, zinc and tin prod.",Other countries,,,
7,2013,Plastic prod.,Other countries,,,
8,2013,Construction products,Other countries,,,
9,2013,Nickel,Other countries,,,
0,2013,Ceramic goods,Other countries,,,
1,2013,Chemical and fertilizer minerals,Other countries,,,
2,2013,Electricity distribution,Other countries,,,
3,2013,Other non-metallic products,Other countries,,,
4,2013,Petroleum Refinery,Other countries,,,
5,2013,Processing Nuclear Fuel,Other countries,,,
6,2013,"Coal, lignite and peat",Other countries,,,
7,2013,Precious metals,Other countries,,,
8,2013,Water,Other countries,,,
9,2013,Gaseous fuels distribution,Other countries,,,
0,2014,Fertilizers,Other countries,,,
1,2014,Coke oven products,Other countries,,,
2,2014,Chemicals,Other countries,,,
3,2014,"Lead, zinc and tin",Other countries,,,
4,2014,Non-ferrous metals,Other countries,,,
5,2014,Non-ferrous metals prod.,Other countries,,,
