,year,country,sector,all three fossil fuels,length_ratio,length
0,1999,RoW Middle East,Processing Nuclear Fuel,-48.681774427875766,1.0,-0.37965571374466406
1,1999,Other countries,Processing Nuclear Fuel,30.078644454387227,-0.3819005140050239,0.14499071222403143
2,1999,USA,Water,-6.301152606819109,0.5138448384034194,0.2016569617915944
3,1999,Mexico,Water,-3.40559727017041,0.27771880609018196,0.10898996444636146
4,1999,Finland,Water,-2.5560036545971405,0.20843635550639847,0.08180026155158761
5,1999,Other countries,Water,31.492665733274293,-0.7197432058105173,-0.28246119705096817
6,1999,Estonia,Iron,-6.3747675302243945,0.32823877599121937,0.003634496540394394
7,1999,Romania,Iron,-5.402641453762042,0.27818369995365966,0.003080250625546857
8,1999,Sweden,Iron,-4.444808548556118,0.22886458377910648,0.0025341537892714324
9,1999,Hungary,Iron,-3.1989112203715253,0.16471294027601455,0.0018238205092727302
10,1999,Other countries,Iron,19.963692104673864,-0.5068879753664698,-0.005612629364929863
11,1999,Switzerland,Gaseous fuels distribution,-10.501729488597038,0.55107035856282,1.627436296294835
12,1999,USA,Gaseous fuels distribution,-4.878714935468269,0.25600689788605974,0.7560466848701394
13,1999,Turkey,Gaseous fuels distribution,-3.676522305165656,0.19292274355112027,0.5697448072777844
14,1999,Other countries,Gaseous fuels distribution,163.76512836292613,-0.8957622342112166,-2.6453899219101356
15,1999,Brazil,Coke oven products,-9.795012277714237,0.3874795615700669,0.8539751938588644
16,1999,Norway,Coke oven products,-9.449849313245437,0.3738253066951761,0.8238822648111095
17,1999,Turkey,Coke oven products,-6.033922760980991,0.23869513173475698,0.5260657376879386
18,1999,Other countries,Coke oven products,133.2710209734784,-0.8405625014798557,-1.8525351950000861
19,1999,Romania,Precious metals prod.,-8.38353310653924,0.7871158892889575,0.24568971577372972
20,1999,Brazil,Precious metals prod.,-2.2674183233861793,0.2128841107110425,0.06644947378789118
21,1999,Other countries,Precious metals prod.,25.945771718444846,-0.708964341240488,-0.22129555490289438
22,1999,Ireland,Crude Petroleum,-2.6695954202357126,0.7406819122674266,0.1476633498626784
23,1999,Austria,Crude Petroleum,-0.9346446402017873,0.2593180877325734,0.051698005419565714
24,1999,Other countries,Crude Petroleum,13.372946469267461,-0.7877009801281758,-0.15703713495550517
25,1999,Bulgaria,Casting of metals,-17.382602646205065,1.0,0.14289716231744734
26,1999,Other countries,Casting of metals,24.384563599759986,-0.5838213551802949,-0.08342641495559067
27,1999,Mexico,Copper prod.,-3.505866725590656,0.5483298470989156,0.12326003076163164
28,1999,Spain,Copper prod.,-2.887851843878749,0.4516701529010845,0.10153172809258998
29,1999,Other countries,Copper prod.,17.408514753326262,-0.7313815689998271,-0.16440854928903137
30,1999,Ireland,Non-ferrous metals prod.,-4.956199678893952,0.5584442972520887,0.253624532708743
31,1999,Bulgaria,Non-ferrous metals prod.,-2.3808599090412734,0.26826555120897394,0.12183618921712414
32,1999,Hungary,Non-ferrous metals prod.,-1.5379521245698489,0.17329015153893743,0.07870191158429972
33,1999,Other countries,Non-ferrous metals prod.,31.128980754503253,-0.7781468507218529,-0.3534052229814794
0,1999,RoW America,Other non-metallic products,3.338896063986171,0.14682969032324994,0.06814073599971779
1,1999,India,Other non-metallic products,2.98043150378445,0.13106602492078692,0.0608251327302949
2,1999,RoW Middle East,Other non-metallic products,1.7163922584147118,0.07547924192506386,0.03502841343703494
3,1999,Netherlands,Other non-metallic products,1.5599847131065212,0.06860113880303854,0.03183642271645962
4,1999,South Africa,Other non-metallic products,1.5245400797069635,0.06704244262144345,0.031113062851162526
5,1999,Cyprus,Other non-metallic products,1.519797003646942,0.06683386338575403,0.031016265380549836
6,1999,Russia,Other non-metallic products,1.437508757125265,0.06321519496287524,0.029336913410719697
7,1999,Luxembourg,Other non-metallic products,1.4271187137745303,0.06275828740468901,0.029124871709684294
8,1999,Other countries,Other non-metallic products,7.23525534977032,0.3181741156530991,0.14765827244429225
9,1999,Netherlands,Plastic prod.,7.160371341913163,0.19287817800178786,0.14613002738598294
10,1999,Indonesia,Plastic prod.,4.282916132007361,0.1153684663308713,0.08740645167361961
11,1999,RoW Middle East,Plastic prod.,3.2695873384080754,0.08807253402605897,0.0667262722124097
12,1999,Russia,Plastic prod.,3.1645129052113288,0.08524215494907886,0.064581896024721
13,1999,Luxembourg,Plastic prod.,3.0395538674159077,0.0818761463464583,0.062031711579916486
14,1999,Other countries,Plastic prod.,16.20686068285069,0.43656252034574466,0.33075225883368753
15,1999,Hungary,Aluminium,2.6047492722973913,0.42064893943274306,-0.004517119572986237
16,1999,Ireland,Aluminium,1.8836078920645196,0.30418960877767803,-0.0032665263284905343
17,1999,Great-Britain,Aluminium,1.7038592615488939,0.2751614517895788,-0.002954808780181761
18,1999,Other countries,Aluminium,-6.718400705312074,-0.5203779677630107,0.005588055224156656
19,1999,Norway,Coal elec. prod.,21.023830173939956,0.3439460586528514,-0.15127790927556198
20,1999,India,Coal elec. prod.,10.027565455688105,0.16404915697247857,-0.0721537952271264
21,1999,Lithuania,Coal elec. prod.,9.01410305005542,0.14746909534116476,-0.06486138121002998
22,1999,Sweden,Coal elec. prod.,7.873490330241355,0.12880887757001652,-0.05665405142668405
23,1999,Mexico,Coal elec. prod.,6.683010820961056,0.10933284814358568,-0.048087902931889095
24,1999,South Africa,Coal elec. prod.,6.503370398053251,0.10639396331990315,-0.046795292243254634
25,1999,Other countries,Coal elec. prod.,-82.6770565123519,-0.5749350576752974,0.2528738774766088
26,1999,Lithuania,Biomass and waste elec. prod.,9.808490623016416,0.21303794049171113,0.2001732780207432
27,1999,Finland,Biomass and waste elec. prod.,6.789990660762736,0.14747688323547525,0.1385712379747497
28,1999,Hungary,Biomass and waste elec. prod.,6.417854702924027,0.1393941841650562,0.13097662659028625
29,1999,Sweden,Biomass and waste elec. prod.,5.418956309291168,0.11769836319534832,0.11059094508757487
30,1999,Indonesia,Biomass and waste elec. prod.,4.4769719175845175,0.09723869998135552,0.09136677382825546
31,1999,Luxembourg,Biomass and waste elec. prod.,3.9051914095227094,0.08481977167398144,0.0796977838678104
32,1999,Other countries,Biomass and waste elec. prod.,9.223595094801162,0.20033415725707218,0.18823663458777884
33,1999,Indonesia,Chemicals,13.067426935701237,0.16768212717857145,0.26668218236124974
34,1999,Netherlands,Chemicals,11.971232788638007,0.15361568798708283,0.24431087323751036
35,1999,Greece,Chemicals,7.693942454826626,0.09872920228006739,0.15701923377197197
36,1999,India,Chemicals,6.175127246951446,0.07923966037554189,0.12602300503982541
37,1999,Other countries,Chemicals,39.0220246602273,0.5007333221787365,0.7963678502087205
38,1999,Netherlands,Fertilizers,16.246944969654734,0.20609553856673474,0.1620192721524883
39,1999,Greece,Fertilizers,13.845212508749492,0.17562911266648168,0.1380684958097565
40,1999,Sweden,Fertilizers,13.817356116826629,0.17527574911988314,0.13779070374776783
41,1999,Latvia,Fertilizers,12.85539720344393,0.1630731202131582,0.12819776899739085
42,1999,RoW America,Fertilizers,12.395663911105768,0.15724131733215754,0.12361317456760626
43,1999,Indonesia,Fertilizers,9.67152948151855,0.12268516210158478,0.0964473117945366
44,1999,Other countries,Fertilizers,-40.311404564891326,-0.3383432717881647,-0.26598407230954974
45,1999,Netherlands,Petroleum Refinery,26.263519414721937,0.08979445683728272,0.5359901921371825
46,1999,South Africa,Petroleum Refinery,21.18318283236723,0.07242488588376442,0.43230985372178027
47,1999,Latvia,Petroleum Refinery,20.044551771784924,0.06853192866015122,0.40907248513846795
48,1999,Hungary,Petroleum Refinery,19.497954817028923,0.06666312441171088,0.39791744524548833
49,1999,Great-Britain,Petroleum Refinery,17.524252870676158,0.05991507623763067,0.3576378136872686
50,1999,India,Petroleum Refinery,16.453558033535376,0.056254391627111676,0.3357868986435792
51,1999,France,Petroleum Refinery,15.497141510202619,0.052984422326092295,0.3162681940857678
52,1999,Norway,Petroleum Refinery,14.92144953920166,0.051016142788787064,0.30451937835105436
53,1999,Other countries,Petroleum Refinery,141.09925230525195,0.4824155712274692,2.8795765776582036
54,1999,Luxembourg,Petroleum elec. prod.,29.566910425940538,0.1624909265084235,0.6034063352232764
55,1999,Indonesia,Petroleum elec. prod.,27.688823670237884,0.15216952151206037,0.5650780340864874
56,1999,Sweden,Petroleum elec. prod.,24.364295802928105,0.13389890731598633,0.49723052659036954
57,1999,Norway,Petroleum elec. prod.,20.87580875738749,0.11472722234868572,0.4260369134160712
58,1999,Lithuania,Petroleum elec. prod.,17.53573182405166,0.09637115512053913,0.3578720780418706
59,1999,Other countries,Petroleum elec. prod.,61.92880762344524,0.340342267194305,1.2638532168050047
60,1999,Slovakia,Non-ferrous metals,14.819403055804278,0.48878002261963005,0.22855538548346582
61,1999,Japan,Non-ferrous metals,6.52675099861982,0.21526815140429106,0.10066020100991105
62,1999,Greece,Non-ferrous metals,5.093407337121937,0.1679929848776447,0.07855415450788128
63,1999,Poland,Non-ferrous metals,3.8796054524245465,0.1279588410984342,0.059834037603515654
64,1999,Other countries,Non-ferrous metals,-7.406581692336665,-0.19632696446588926,-0.09180323042625498
0,2000,Sweden,Iron,-26.438799215083495,0.8064667492074435,-0.4561648206807844
1,2000,Romania,Iron,-6.344696497624146,0.19353325079255643,-0.1094689405735774
2,2000,Other countries,Iron,5.067441411243912,-0.13387888903911194,0.07572641955974824
3,2000,RoW Middle East,Processing Nuclear Fuel,-51.095234449533415,1.0,-0.5387113314094867
4,2000,Other countries,Processing Nuclear Fuel,24.698379210468566,-0.3258635921657139,0.17554640959346973
5,2000,Romania,Water,-16.864090908252034,0.6180918790015537,-0.21568169524620712
6,2000,USA,Water,-6.367348884984869,0.23337200077906078,-0.08143460618239327
7,2000,Finland,Water,-4.052676826275653,0.1485361202193856,-0.05183132686674723
8,2000,Other countries,Water,10.185682833040524,-0.27183713235343987,0.09485692261734134
9,2000,Ireland,Other petroleum,-26.843329739002233,0.767160667623567,-0.26622888823978935
10,2000,Denmark,Other petroleum,-8.147162959424021,0.23283933237643298,-0.08080257397592402
11,2000,Other countries,Other petroleum,17.985951049856297,-0.33950846408861457,0.11782011872728292
12,2000,Ireland,Non-ferrous metals prod.,-13.57446570318349,1.0,-0.2158485771757743
13,2000,Other countries,Non-ferrous metals prod.,2.9978854215705493,-0.18089680812353914,0.039046318649104975
14,2000,Czechia,Aluminium,-8.752306544217852,0.8011855149724898,-0.08346884580685233
15,2000,Ireland,Aluminium,-2.1718881406029027,0.19881448502751023,-0.02071282528803559
16,2000,Other countries,Aluminium,5.819292801171247,-0.3475555977235809,0.03620892296922528
17,2000,Hungary,Coal elec. prod.,-13.556813774873994,0.2939225811587601,-0.01758500612358217
