,year,country,sector,all three fossil fuels,length_ratio,length
0,2019,Ireland,Other petroleum,-29.575205039214538,0.9766027785492801,-0.6035756130451946
1,2019,Other countries,Other petroleum,-0.7085558601224378,0.02339722145071984,-0.014460323675968119
2,2019,Denmark,Coke oven products,-8.47072694015458,0.3516030320183374,-0.09395837078354621
3,2019,RoW America,Coke oven products,-4.822982261386368,0.2001924036100683,-0.05349712708240562
4,2019,Netherlands,Coke oven products,-4.740839495704709,0.1967828207400158,-0.05258598917303483
5,2019,Switzerland,Coke oven products,-3.4367544897733255,0.14265284519782714,-0.038120913933774675
6,2019,Canada,Coke oven products,-2.620431436341149,0.10876889843375134,-0.02906615574413843
7,2019,Other countries,Coke oven products,10.997535344232043,-0.3134159061841175,0.08375368026170099
8,2019,Netherlands,Precious metals prod.,-3.163084037182223,0.3375027679984105,-0.06292279028093431
9,2019,Canada,Precious metals prod.,-2.747520488384989,0.29316191383531603,-0.05465604247341699
10,2019,Spain,Precious metals prod.,-1.4494364941512057,0.1546556534899177,-0.02883343833894947
11,2019,Denmark,Precious metals prod.,-1.0229627740452036,0.10915067818025823,-0.02034965601286709
12,2019,Czechia,Precious metals prod.,-0.9890201927096403,0.10552898649609768,-0.019674440968984217
13,2019,Other countries,Precious metals prod.,0.23664195079081018,-0.024627971493219603,0.004591549558254242
14,2019,Luxembourg,Textile,-7.1340675367605755,0.8387504982537661,-0.14559321503593012
15,2019,Other countries,Textile,-1.3715220892525526,0.16124950174623387,-0.027990246719439848
16,2019,Estonia,Fertilizers,-14.089096907412275,0.43075664108462886,-0.199624992549657
17,2019,Ireland,Fertilizers,-8.4230929458143,0.2575256064122711,-0.11934475840453848
18,2019,Great-Britain,Fertilizers,-5.507711372349939,0.16839143533528453,-0.07803742488935418
19,2019,Netherlands,Fertilizers,-4.6878868004803,0.1433263171678156,-0.06642152962459791
20,2019,Other countries,Fertilizers,9.999781458117582,-0.23414541213409668,0.1085097052366103
21,2019,Turkey,Petroleum Refinery,-8.477827987284078,0.4228299980025734,0.048181607568849094
22,2019,RoW America,Petroleum Refinery,-8.388808883538186,0.4183901877686877,0.0476756898350559
23,2019,Japan,Petroleum Refinery,-3.183567767762726,0.15877981422873905,0.018093008384370366
