,year,country,sector,all three fossil fuels,length_ratio,length
0,2007,Other petroleum,Other countries,,,
1,2007,Plastic prod.,Other countries,,,
2,2007,Precious metals,Other countries,,,
3,2007,Coke oven products,Other countries,,,
4,2007,Natural Gas,Other countries,,,
5,2007,Stone quarrying,Other countries,,,
6,2007,Copper prod.,Other countries,,,
7,2007,Glass prod.,Other countries,,,
8,2007,Copper reproc.,Other countries,,,
9,2007,Non-ferrous metals,Other countries,,,
0,2007,Crude Petroleum,Other countries,,,
1,2007,Precious metals prod.,Other countries,,,
2,2007,Steel reproc.,Other countries,,,
3,2007,Precious metals reproc.,Other countries,,,
4,2007,Glass reproc.,Other countries,,,
5,2007,"Coal, lignite and peat",Other countries,,,
6,2007,Uranium and thorium,Other countries,,,
7,2007,Food Manufacture,Other countries,,,
8,2007,Ash reproc. into clinker,Other countries,,,
9,2007,Copper,Other countries,,,
0,2008,Iron,Other countries,,,
1,2008,Non-ferrous metals,Other countries,,,
2,2008,Petroleum elec. prod.,Other countries,,,
3,2008,Nickel,Other countries,,,
4,2008,Aluminium,Other countries,,,
5,2008,Other petroleum,Other countries,,,
6,2008,Wind elec. prod.,Other countries,,,
7,2008,Solar thermal elec. prod.,Other countries,,,
8,2008,Glass prod.,Other countries,,,
9,2008,Glass reproc.,Other countries,,,
0,2008,Ceramic goods,Other countries,,,
1,2008,"Coal, lignite and peat",Other countries,,,
2,2008,Natural Gas,Other countries,,,
3,2008,Construction products,Other countries,,,
4,2008,"Lead, zinc and tin prod.",Other countries,,,
5,2008,Coal elec. prod.,Other countries,,,
6,2008,Coke oven products,Other countries,,,
7,2008,Petroleum Refinery,Other countries,,,
8,2008,Gas elec. prod.,Other countries,,,
9,2008,Gaseous fuels distribution,Other countries,,,
0,2009,Biomass and waste elec. prod.,Other countries,,,
1,2009,Iron,Other countries,,,
2,2009,Petroleum elec. prod.,Other countries,,,
3,2009,Petroleum Refinery,Other countries,,,
4,2009,Nickel,Other countries,,,
5,2009,Chemical and fertilizer minerals,Other countries,,,
6,2009,Aluminium,Other countries,,,
7,2009,Chemicals,Other countries,,,
8,2009,Wood and paper reproc.,Other countries,,,
9,2009,Other petroleum,Other countries,,,
0,2009,Fertilizers,Other countries,,,
1,2009,Non-ferrous metals,Other countries,,,
2,2009,Construction products,Other countries,,,
3,2009,Aluminium prod.,Other countries,,,
4,2009,Coke oven products,Other countries,,,
5,2009,"Lead, zinc and tin prod.",Other countries,,,
6,2009,Precious metals prod.,Other countries,,,
7,2009,Natural Gas,Other countries,,,
8,2009,Gas elec. prod.,Other countries,,,
9,2009,Non-ferrous metals prod.,Other countries,,,
0,2010,"Lead, zinc and tin",Other countries,,,
1,2010,Iron,Other countries,,,
2,2010,Nickel,Other countries,,,
3,2010,Biomass and waste elec. prod.,Other countries,,,
4,2010,Copper reproc.,Other countries,,,
5,2010,Wind elec. prod.,Other countries,,,
6,2010,Chemical and fertilizer minerals,Other countries,,,
7,2010,Casting of metals,Other countries,,,
8,2010,Textile,Other countries,,,
9,2010,Solar photovoltaic elec. prod.,Other countries,,,
0,2010,Construction products,Other countries,,,
1,2010,Non-ferrous metals,Other countries,,,
2,2010,"Coal, lignite and peat",Other countries,,,
3,2010,Natural Gas,Other countries,,,
4,2010,Precious metals,Other countries,,,
5,2010,Gaseous fuels distribution,Other countries,,,
6,2010,Petroleum elec. prod.,Other countries,,,
7,2010,Coal elec. prod.,Other countries,,,
8,2010,Coke oven products,Other countries,,,
9,2010,Gas elec. prod.,Other countries,,,
0,2011,Biomass and waste elec. prod.,Other countries,,,
1,2011,Other petroleum,Other countries,,,
2,2011,Fertilizers,Other countries,,,
3,2011,"Lead, zinc and tin",Other countries,,,
4,2011,Nickel,Other countries,,,
5,2011,Iron,Other countries,,,
6,2011,Non-ferrous metals,Other countries,,,
7,2011,Uranium and thorium,Other countries,,,
8,2011,Wind elec. prod.,Other countries,,,
9,2011,Other sources elec. prod.,Other countries,,,
0,2011,Water,Other countries,,,
1,2011,Construction products,Other countries,,,
2,2011,Ceramic goods,Other countries,,,
3,2011,Chemicals,Other countries,,,
4,2011,Petroleum Refinery,Other countries,,,
5,2011,Precious metals,Other countries,,,
6,2011,Coal elec. prod.,Other countries,,,
7,2011,Gas elec. prod.,Other countries,,,
8,2011,Coke oven products,Other countries,,,
9,2011,Gaseous fuels distribution,Other countries,,,
0,2012,Biomass and waste elec. prod.,Other countries,,,
1,2012,Other petroleum,Other countries,,,
2,2012,Nickel,Other countries,,,
3,2012,Iron,Other countries,,,
4,2012,Fertilizers,Other countries,,,
5,2012,Other sources elec. prod.,Other countries,,,
6,2012,Uranium and thorium,Other countries,,,
7,2012,Copper,Other countries,,,
8,2012,Wind elec. prod.,Other countries,,,
9,2012,Aluminium,Other countries,,,
0,2012,Coal elec. prod.,Other countries,,,
1,2012,"Lead, zinc and tin prod.",Other countries,,,
2,2012,Electricity distribution,Other countries,,,
3,2012,Aluminium prod.,Other countries,,,
4,2012,Gas elec. prod.,Other countries,,,
5,2012,Gaseous fuels distribution,Other countries,,,
6,2012,Water,Other countries,,,
7,2012,Natural Gas,Other countries,,,
8,2012,Petroleum elec. prod.,Other countries,,,
9,2012,Petroleum Refinery,Other countries,,,
0,2013,Biomass and waste elec. prod.,Other countries,,,
1,2013,"Lead, zinc and tin",Other countries,,,
2,2013,Iron,Other countries,,,
3,2013,Other petroleum,Other countries,,,
4,2013,Nickel,Other countries,,,
5,2013,Fertilizers,Other countries,,,
6,2013,Aluminium,Other countries,,,
7,2013,Non-ferrous metals,Other countries,,,
8,2013,Petroleum Refinery,Other countries,,,
9,2013,Wind elec. prod.,Other countries,,,
0,2013,Natural Gas,Other countries,,,
1,2013,Crude Petroleum,Other countries,,,
2,2013,"Lead, zinc and tin prod.",Other countries,,,
3,2013,Aluminium prod.,Other countries,,,
4,2013,Gaseous fuels distribution,Other countries,,,
5,2013,Precious metals,Other countries,,,
6,2013,Water,Other countries,,,
7,2013,Coal elec. prod.,Other countries,,,
8,2013,Gas elec. prod.,Other countries,,,
9,2013,Coke oven products,Other countries,,,
0,2014,Biomass and waste elec. prod.,Other countries,,,
1,2014,"Lead, zinc and tin",Other countries,,,
2,2014,Iron,Other countries,,,
3,2014,Chemicals,Other countries,,,
4,2014,Other petroleum,Other countries,,,
5,2014,Fertilizers,Other countries,,,
6,2014,Non-ferrous metals,Other countries,,,
7,2014,Nickel,Other countries,,,
8,2014,Coal elec. prod.,Other countries,,,
9,2014,"Iron, steel and ferro-alloys",Other countries,,,
0,2014,Crude Petroleum,Other countries,,,
1,2014,Precious metals prod.,Other countries,,,
2,2014,"Lead, zinc and tin prod.",Other countries,,,
3,2014,Petroleum Refinery,Other countries,,,
4,2014,Wood and paper reproc.,Other countries,,,
5,2014,Processing Nuclear Fuel,Other countries,,,
6,2014,Gaseous fuels distribution,Other countries,,,
7,2014,Natural Gas,Other countries,,,
8,2014,Aluminium prod.,Other countries,,,
9,2014,Water,Other countries,,,
0,2015,Petroleum Refinery,Other countries,,,
1,2015,Fertilizers,Other countries,,,
2,2015,Chemicals,Other countries,,,
3,2015,Biomass and waste elec. prod.,Other countries,,,
4,2015,Non-ferrous metals,Other countries,,,
5,2015,Coal elec. prod.,Other countries,,,
6,2015,Petroleum elec. prod.,Other countries,,,
7,2015,Coke oven products,Other countries,,,
8,2015,Plastic prod.,Other countries,,,
9,2015,"Lead, zinc and tin",Other countries,,,
0,2015,Wood and paper reproc.,Other countries,,,
1,2015,Non-ferrous metals reproc.,Other countries,,,
2,2015,Construction materials reproc.,Other countries,,,
3,2015,Precious metals reproc.,Other countries,,,
4,2015,Ash reproc. into clinker,Other countries,,,
5,2015,Processing Nuclear Fuel,Other countries,,,
6,2015,Crude Petroleum,Other countries,,,
7,2015,Precious metals prod.,Other countries,,,
8,2015,Aluminium prod.,Other countries,,,
9,2015,Water,Other countries,,,
0,2016,Petroleum Refinery,Other countries,,,
1,2016,Fertilizers,Other countries,,,
2,2016,Chemicals,Other countries,,,
3,2016,Petroleum elec. prod.,Other countries,,,
4,2016,Biomass and waste elec. prod.,Other countries,,,
5,2016,Gaseous fuels distribution,Other countries,,,
6,2016,Gas elec. prod.,Other countries,,,
7,2016,Non-ferrous metals,Other countries,,,
8,2016,Coke oven products,Other countries,,,
9,2016,Coal elec. prod.,Other countries,,,
0,2016,Lead reproc.,Other countries,,,
1,2016,"Lead, zinc and tin prod.",Other countries,,,
2,2016,Aluminium prod.,Other countries,,,
3,2016,Solar thermal elec. prod.,Other countries,,,
4,2016,Non-ferrous metals reproc.,Other countries,,,
5,2016,"Tide, wave and ocean elec. prod.",Other countries,,,
6,2016,Construction materials reproc.,Other countries,,,
7,2016,Precious metals reproc.,Other countries,,,
8,2016,Water,Other countries,,,
9,2016,Precious metals prod.,Other countries,,,
0,2017,Petroleum Refinery,Other countries,,,
1,2017,Fertilizers,Other countries,,,
2,2017,Biomass and waste elec. prod.,Other countries,,,
