,year,country,sector,all three fossil fuels,length_ratio,length
0,2014,Other non-metallic products,Other countries,,,
1,2014,Chemicals,Other countries,,,
2,2014,Stone quarrying,Other countries,,,
3,2014,Steel reproc.,Other countries,,,
4,2014,Construction products,Other countries,,,
5,2014,Precious metals,Other countries,,,
6,2014,"Agriculture, forestry and fishing",Other countries,,,
7,2014,Processing Nuclear Fuel,Other countries,,,
8,2014,Glass prod.,Other countries,,,
9,2014,Crude Petroleum,Other countries,,,
0,2014,"Lead, zinc and tin prod.",Other countries,,,
1,2014,Sand and clay,Other countries,,,
2,2014,Casting of metals,Other countries,,,
3,2014,Copper reproc.,Other countries,,,
4,2014,Wood and paper prod.,Other countries,,,
5,2014,Glass reproc.,Other countries,,,
6,2014,Coke oven products,Other countries,,,
7,2014,Plastic prod.,Other countries,,,
8,2014,Precious metals prod.,Other countries,,,
9,2014,Machinery and furniture,Other countries,,,
0,2015,Petroleum Refinery,Other countries,,,
1,2015,Coke oven products,Other countries,,,
2,2015,Coal elec. prod.,Other countries,,,
3,2015,Fertilizers,Other countries,,,
4,2015,Chemicals,Other countries,,,
5,2015,Petroleum elec. prod.,Other countries,,,
6,2015,Non-ferrous metals,Other countries,,,
7,2015,Gas elec. prod.,Other countries,,,
8,2015,Other sources elec. prod.,Other countries,,,
9,2015,Plastic prod.,Other countries,,,
0,2015,Wind elec. prod.,Other countries,,,
1,2015,Finance,Other countries,,,
2,2015,"Lead, zinc and tin",Other countries,,,
3,2015,"Tide, wave and ocean elec. prod.",Other countries,,,
4,2015,Construction materials reproc.,Other countries,,,
5,2015,Solar thermal elec. prod.,Other countries,,,
6,2015,Precious metals reproc.,Other countries,,,
7,2015,Non-ferrous metals reproc.,Other countries,,,
8,2015,Iron,Other countries,,,
9,2015,Other petroleum,Other countries,,,
0,2016,Petroleum Refinery,Other countries,,,
1,2016,Coke oven products,Other countries,,,
2,2016,Petroleum elec. prod.,Other countries,,,
3,2016,Chemicals,Other countries,,,
4,2016,Fertilizers,Other countries,,,
5,2016,Gas elec. prod.,Other countries,,,
6,2016,Gaseous fuels distribution,Other countries,,,
7,2016,Coal elec. prod.,Other countries,,,
8,2016,Natural Gas,Other countries,,,
9,2016,"Coal, lignite and peat",Other countries,,,
0,2016,Uranium and thorium,Other countries,,,
1,2016,Geothermal elec. prod.,Other countries,,,
2,2016,Iron,Other countries,,,
3,2016,Finance,Other countries,,,
4,2016,"Tide, wave and ocean elec. prod.",Other countries,,,
5,2016,Construction materials reproc.,Other countries,,,
6,2016,Non-ferrous metals reproc.,Other countries,,,
7,2016,Solar thermal elec. prod.,Other countries,,,
8,2016,Precious metals reproc.,Other countries,,,
9,2016,Other petroleum,Other countries,,,
0,2017,Petroleum Refinery,Other countries,,,
1,2017,Petroleum elec. prod.,Other countries,,,
2,2017,Coke oven products,Other countries,,,
3,2017,Fertilizers,Other countries,,,
4,2017,Chemicals,Other countries,,,
5,2017,Coal elec. prod.,Other countries,,,
6,2017,Gaseous fuels distribution,Other countries,,,
7,2017,Gas elec. prod.,Other countries,,,
8,2017,Other sources elec. prod.,Other countries,,,
9,2017,Ceramic goods,Other countries,,,
0,2017,Copper prod.,Other countries,,,
1,2017,Precious metals prod.,Other countries,,,
2,2017,Construction materials reproc.,Other countries,,,
3,2017,"Tide, wave and ocean elec. prod.",Other countries,,,
4,2017,Non-ferrous metals reproc.,Other countries,,,
5,2017,Precious metals reproc.,Other countries,,,
6,2017,Solar thermal elec. prod.,Other countries,,,
7,2017,Other petroleum,Other countries,,,
8,2017,Iron,Other countries,,,
9,2017,"Lead, zinc and tin",Other countries,,,
0,2018,Petroleum Refinery,Other countries,,,
1,2018,Coke oven products,Other countries,,,
2,2018,Chemicals,Other countries,,,
3,2018,Fertilizers,Other countries,,,
4,2018,Petroleum elec. prod.,Other countries,,,
5,2018,Coal elec. prod.,Other countries,,,
6,2018,Other sources elec. prod.,Other countries,,,
7,2018,Natural Gas,Other countries,,,
8,2018,Gas elec. prod.,Other countries,,,
9,2018,Ceramic goods,Other countries,,,
0,2018,Finance,Other countries,,,
1,2018,Geothermal elec. prod.,Other countries,,,
2,2018,Construction materials reproc.,Other countries,,,
3,2018,"Tide, wave and ocean elec. prod.",Other countries,,,
4,2018,Non-ferrous metals reproc.,Other countries,,,
5,2018,Precious metals reproc.,Other countries,,,
6,2018,Solar thermal elec. prod.,Other countries,,,
7,2018,Iron,Other countries,,,
8,2018,"Lead, zinc and tin",Other countries,,,
9,2018,Other petroleum,Other countries,,,
0,2019,Coke oven products,Other countries,,,
1,2019,Petroleum Refinery,Other countries,,,
2,2019,Chemicals,Other countries,,,
3,2019,Fertilizers,Other countries,,,
4,2019,Petroleum elec. prod.,Other countries,,,
5,2019,Coal elec. prod.,Other countries,,,
6,2019,Other sources elec. prod.,Other countries,,,
7,2019,Ceramic goods,Other countries,,,
8,2019,Plastic prod.,Other countries,,,
9,2019,Steel reproc.,Other countries,,,
0,2019,Geothermal elec. prod.,Other countries,,,
1,2019,Finance,Other countries,,,
2,2019,"Tide, wave and ocean elec. prod.",Other countries,,,
3,2019,Construction materials reproc.,Other countries,,,
4,2019,Precious metals reproc.,Other countries,,,
5,2019,Solar thermal elec. prod.,Other countries,,,
6,2019,Non-ferrous metals reproc.,Other countries,,,
7,2019,Iron,Other countries,,,
8,2019,Copper,Other countries,,,
9,2019,"Lead, zinc and tin",Other countries,,,
0,2020,Coke oven products,Other countries,,,
1,2020,Petroleum Refinery,Other countries,,,
2,2020,Fertilizers,Other countries,,,
3,2020,Chemicals,Other countries,,,
4,2020,Coal elec. prod.,Other countries,,,
5,2020,Natural Gas,Other countries,,,
6,2020,Other sources elec. prod.,Other countries,,,
7,2020,Ceramic goods,Other countries,,,
8,2020,Gaseous fuels distribution,Other countries,,,
9,2020,Non-ferrous metals,Other countries,,,
0,2020,Finance,Other countries,,,
1,2020,Wind elec. prod.,Other countries,,,
2,2020,"Tide, wave and ocean elec. prod.",Other countries,,,
3,2020,Construction materials reproc.,Other countries,,,
4,2020,Solar thermal elec. prod.,Other countries,,,
5,2020,Non-ferrous metals reproc.,Other countries,,,
6,2020,Precious metals reproc.,Other countries,,,
7,2020,Iron,Other countries,,,
8,2020,Precious metals,Other countries,,,
9,2020,"Lead, zinc and tin",Other countries,,,
