,year,country,sector,all three fossil fuels,length_ratio,length
0,2010,RoW Middle East,"Lead, zinc and tin",-16.32565361617256,0.4995763638646706,-0.3331766044116849
1,2010,Sweden,"Lead, zinc and tin",-7.0632026812015205,0.21613891827389553,-0.14414699349390858
2,2010,Other countries,"Lead, zinc and tin",-9.290138941469902,0.2842847178614339,-0.189594672274896
3,2010,Netherlands,Non-ferrous metals prod.,-25.498587233057552,0.5181181292512751,-0.5203793312868888
4,2010,Lithuania,Non-ferrous metals prod.,-7.665372279592957,0.15575640756944995,-0.15643616897128484
5,2010,Other countries,Non-ferrous metals prod.,-16.049889209271626,0.326125463179275,-0.32754875937289035
6,2010,Netherlands,Precious metals prod.,-19.865821691333153,0.4670319496189984,-0.4054249324761868
7,2010,Lithuania,Precious metals prod.,-7.755110030309773,0.18231735959582984,-0.15826755163897496
8,2010,Other countries,Precious metals prod.,-14.915390916539664,0.35065069078517175,-0.3043957329906054
9,2010,Ireland,"Lead, zinc and tin prod.",-5.363259472545084,0.3363254702910009,-0.10945427494989966
10,2010,Netherlands,"Lead, zinc and tin prod.",-4.559713158901445,0.28593575985087727,-0.09305537058982541
11,2010,Finland,"Lead, zinc and tin prod.",-1.7572679240529219,0.11019678686251026,-0.03586261069495759
12,2010,Other countries,"Lead, zinc and tin prod.",-4.266394315492027,0.26754198299561144,-0.08706927174473524
13,2010,Norway,Copper reproc.,-7.947758405681299,0.5279101212168752,-0.16219915113635303
14,2010,Malta,Copper reproc.,-2.8577132598766926,0.18981650880909665,-0.05832067877299372
15,2010,Brazil,Copper reproc.,-2.2569045369349077,0.14990928093845218,-0.046059276263977704
16,2010,France,Copper reproc.,-1.7143070759164871,0.11386859162743271,-0.0349858586921732
17,2010,Other countries,Copper reproc.,-0.278452219582352,0.018495497408143276,-0.005682698358823511
18,2010,Bulgaria,Casting of metals,-17.60807209636994,0.8208334660174204,-0.3575602965314901
19,2010,Lithuania,Casting of metals,-3.8433828276136883,0.17916653398257965,-0.07804608568185606
20,2010,Other countries,Casting of metals,0.10674219552966946,-0.004951350752473327,0.002156839988354235
21,2010,Brazil,Natural Gas,-31.496508607404923,0.4460842922624713,-0.6427858899470392
22,2010,Poland,Natural Gas,-25.461872416828655,0.36061588534508293,-0.5196300493230338
23,2010,Indonesia,Natural Gas,-9.22553188807927,0.13066098577259982,-0.1882761609812096
24,2010,Other countries,Natural Gas,-4.422717165736856,0.06263883661984594,-0.09025953399462971
25,2010,Brazil,Fertilizers,-22.703713967626538,0.18205667381225527,-0.4633411013801334
26,2010,Indonesia,Fertilizers,-22.507896560754716,0.18048645204939928,-0.45934482777050445
27,2010,Spain,Fertilizers,-19.3611709775032,0.15525347061281233,-0.3951259383163918
28,2010,Estonia,Fertilizers,-16.6780432984823,0.1337379907511178,-0.3403682305812714
29,2010,Great-Britain,Fertilizers,-12.415871527788841,0.09956046292922108,-0.25338513322018047
30,2010,Switzerland,Fertilizers,-11.887109213277457,0.09532042060158794,-0.24259406557709096
31,2010,Other countries,Fertilizers,-19.153042559677303,0.1535845292436064,-0.39087841958525105
32,2010,RoW Middle East,Copper,-7.743823066203522,0.35972648367336824,-0.15803720543272493
33,2010,Croatia,Copper,-3.2126253692738844,0.1492371942861714,-0.0655637830464058
34,2010,Brazil,Copper,-2.8919548099880865,0.13434097419910715,-0.05901948591812421
35,2010,Cyprus,Copper,-2.6427251137614527,0.12276342116307909,-0.05393316558696842
36,2010,Other countries,Copper,-5.035846766782726,0.23393192667827414,-0.10277238299556582
37,2010,Lithuania,Aluminium prod.,-5.450319602715935,0.4881928131092742,-0.007799846937769542
38,2010,Netherlands,Aluminium prod.,-3.2421608461435305,0.290404919234981,-0.0046397936618152716
39,2010,Cyprus,Aluminium prod.,-2.4717961573509735,0.22140226765574478,-0.003537339659695796
40,2010,Other countries,Aluminium prod.,10.381404573505689,-0.4818322747335142,0.007698224741701627
0,2010,Great-Britain,Aluminium,2.05298686170264,0.34800331092434755,-0.13935494447530303
1,2010,RoW America,Aluminium,1.9677028577105076,0.3335467567632882,-0.13356594121246743
2,2010,Hungary,Aluminium,1.8786416870887264,0.31844993231236424,-0.1275205471973247
3,2010,Other countries,Aluminium,-25.520961617871535,-0.8122445452075946,0.3252563695360316
4,2010,India,Gaseous fuels distribution,14.76796072385018,0.2743828940791274,-0.11221414897153488
5,2010,Mexico,Gaseous fuels distribution,14.664007379460084,0.2724514818810374,-0.11142426089615286
6,2010,Sweden,Gaseous fuels distribution,14.334512158327078,0.2663295904398103,-0.10892059593380533
7,2010,Estonia,Gaseous fuels distribution,10.055973843651557,0.18683603360002496,-0.07641018066380537
8,2010,Other countries,Gaseous fuels distribution,-73.86194424208853,-0.5784727437187757,0.23657752739101673
9,2010,Luxembourg,Biomass and waste elec. prod.,2.715663396916061,0.37362831964596566,-0.3935001414878901
10,2010,Japan,Biomass and waste elec. prod.,2.449727635014077,0.337040157811902,-0.35496599912917304
11,2010,Sweden,Biomass and waste elec. prod.,2.102964320494187,0.28933152254213235,-0.3047199290597593
12,2010,Other countries,Biomass and waste elec. prod.,-58.874472766588624,-0.8901112099508939,0.9374527267834629
13,2010,Brazil,Gas elec. prod.,30.547284405441136,0.6461771407386719,-0.2180888795814358
14,2010,Ireland,Gas elec. prod.,9.67754310307518,0.20471237471460824,-0.06909172365170306
15,2010,Italy,Gas elec. prod.,7.049027413868072,0.14911048454671982,-0.050325733391721215
16,2010,Other countries,Gas elec. prod.,-63.81166541700253,-0.5744372913953684,0.19387622583955802
17,2010,Great-Britain,Petroleum Refinery,9.18890898959509,0.28123180698686845,-0.4861586854257873
18,2010,Italy,Petroleum Refinery,9.186622567307914,0.2811618297270996,-0.48603771741372837
19,2010,Hungary,Petroleum Refinery,5.215207225582075,0.1596143953022272,-0.27592158023144947
20,2010,Slovakia,Petroleum Refinery,5.032165367617647,0.15401229471249897,-0.26623736318820274
21,2010,Germany,Petroleum Refinery,4.050885802909761,0.12397967327130575,-0.21432069019103156
22,2010,Other countries,Petroleum Refinery,-117.37891573907226,-0.7822512443057131,1.3522589805146368
23,2010,Romania,Coke oven products,20.783258983867757,0.3702114528004792,-0.4189839421101355
24,2010,Croatia,Coke oven products,10.372143212646986,0.18475861800063412,-0.20909913381433384
25,2010,Great-Britain,Coke oven products,9.98549398626967,0.17787124908835544,-0.20130440743349298
26,2010,Turkey,Coke oven products,8.793931921635078,0.15664599642741706,-0.17728289225644522
27,2010,RoW Asia and Pacific,Coke oven products,6.204059081949191,0.11051268368311414,-0.12507187314833304
28,2010,Other countries,Coke oven products,-111.59425737574298,-0.6653083245238962,0.7529575393172455
29,2010,Ireland,"Coal, lignite and peat",7.708591460022326,0.47070971815654444,-0.1860573357078919
30,2010,Estonia,"Coal, lignite and peat",4.643587021136246,0.2835513529663822,-0.11207928630814402
31,2010,Mexico,"Coal, lignite and peat",4.024350752637006,0.2457389288770735,-0.09713317703666738
32,2010,Other countries,"Coal, lignite and peat",-35.744749387378036,-0.6857995493007185,0.2710758500425295
33,2010,RoW Middle East,Precious metals,26.92334371189743,0.48091108989784487,0.413970774454238
34,2010,Greece,Precious metals,18.037795677096227,0.32219534361156205,0.2773474322431619
35,2010,Sweden,Precious metals,11.02289649093684,0.196893566490593,0.1694870089655902
36,2010,Other countries,Precious metals,-13.804580312443981,-0.19780561738595348,-0.1702721071332666
37,2010,Norway,Coal elec. prod.,15.993020769868298,0.5524292694040309,-0.39764446799210784
38,2010,Hungary,Coal elec. prod.,4.606367819585863,0.1591126808247753,-0.1145310012006112
39,2010,Mexico,Coal elec. prod.,4.520775497020656,0.15615615967084945,-0.11240286580577855
40,2010,South Africa,Coal elec. prod.,3.8301860409212454,0.1323018901003444,-0.09523230867194506
41,2010,Other countries,Coal elec. prod.,-64.22107166724774,-0.689278648218929,0.49615010744275984
42,2010,Luxembourg,Petroleum elec. prod.,30.826713999514585,0.28507642839350356,0.1292376046734998
43,2010,Romania,Petroleum elec. prod.,16.2219788883624,0.1500161127469503,0.0680088605820605
44,2010,Norway,Petroleum elec. prod.,15.312564952136322,0.14160611884118757,0.06419624277348031
45,2010,Czechia,Petroleum elec. prod.,13.386033027936097,0.12379011548300568,0.0561194697767027
46,2010,Sweden,Petroleum elec. prod.,13.203557303982421,0.12210263339672,0.05535446039311394
47,2010,Italy,Petroleum elec. prod.,10.192061838183202,0.09425320476391826,0.04272909719380812
48,2010,Greece,Petroleum elec. prod.,8.992000242665013,0.0831553863747146,0.03769797107157948
49,2010,Other countries,Petroleum elec. prod.,-85.92106863603205,-0.4427643462882537,-0.20072442983653535
0,2011,Brazil,Fertilizers,-22.58994066930793,0.4037249698273754,-0.4581882963546679
1,2011,Spain,Fertilizers,-12.41813073737542,0.22193548582759026,-0.25187503808711403
2,2011,Great-Britain,Fertilizers,-11.951594346615622,0.2135975980464692,-0.24241235214212092
3,2011,Ireland,Fertilizers,-8.99412050611156,0.16074194629856514,-0.18242636455893319
4,2011,Other countries,Fertilizers,0.34358575341156694,-0.006103051370378587,0.006926365518472755
5,2011,Czechia,Other petroleum,-27.498304455459888,0.6385621299239325,-0.41992697885681624
