,year,country,sector,coal,length_ratio,length
0,1997,Construction products,Other countries,,,
1,1997,Non-ferrous metals prod.,Other countries,,,
2,1997,Chemicals,Other countries,,,
3,1997,Other petroleum,Other countries,,,
4,1997,Iron,Other countries,,,
5,1997,Nickel,Other countries,,,
6,1997,Copper,Other countries,,,
7,1997,Uranium and thorium,Other countries,,,
8,1997,Non-ferrous metals reproc.,Other countries,,,
9,1997,Petroleum Refinery,Other countries,,,
0,1997,"Agriculture, forestry and fishing",Other countries,,,
1,1997,Food Manufacture,Other countries,,,
2,1997,Precious metals reproc.,Other countries,,,
3,1997,Ash reproc. into clinker,Other countries,,,
4,1997,Coke oven products,Other countries,,,
5,1997,Glass prod.,Other countries,,,
6,1997,Other non-metallic products,Other countries,,,
7,1997,Crude Petroleum,Other countries,,,
8,1997,Plastic prod.,Other countries,,,
9,1997,"Iron, steel and ferro-alloys",Other countries,,,
0,1998,Coke oven products,Other countries,,,
1,1998,Non-ferrous metals,Other countries,,,
2,1998,Precious metals prod.,Other countries,,,
3,1998,Construction products,Other countries,,,
4,1998,Fertilizers,Other countries,,,
5,1998,Other non-metallic products,Other countries,,,
6,1998,"Lead, zinc and tin prod.",Other countries,,,
7,1998,Natural Gas,Other countries,,,
8,1998,Ash reproc. into clinker,Other countries,,,
9,1998,Biomass and waste elec. prod.,Other countries,,,
0,1998,Iron,Other countries,,,
1,1998,Petroleum elec. prod.,Other countries,,,
2,1998,Wood and paper reproc.,Other countries,,,
3,1998,Steel reproc.,Other countries,,,
4,1998,Aluminium,Other countries,,,
5,1998,"Iron, steel and ferro-alloys",Other countries,,,
6,1998,Casting of metals,Other countries,,,
7,1998,Gas elec. prod.,Other countries,,,
8,1998,Processing Nuclear Fuel,Other countries,,,
9,1998,Coal elec. prod.,Other countries,,,
0,1999,Coke oven products,Other countries,,,
1,1999,Precious metals prod.,Other countries,,,
2,1999,Fertilizers,Other countries,,,
3,1999,Non-ferrous metals,Other countries,,,
4,1999,Iron,Other countries,,,
5,1999,Natural Gas,Other countries,,,
6,1999,Biomass and waste elec. prod.,Other countries,,,
7,1999,Construction products,Other countries,,,
8,1999,Gaseous fuels distribution,Other countries,,,
9,1999,"Lead, zinc and tin prod.",Other countries,,,
0,1999,Plastic reproc.,Other countries,,,
1,1999,"Iron, steel and ferro-alloys",Other countries,,,
2,1999,Wood and paper reproc.,Other countries,,,
3,1999,Construction materials reproc.,Other countries,,,
4,1999,Petroleum Refinery,Other countries,,,
5,1999,"Lead, zinc and tin",Other countries,,,
6,1999,Petroleum elec. prod.,Other countries,,,
7,1999,Steel reproc.,Other countries,,,
8,1999,Aluminium,Other countries,,,
9,1999,Coal elec. prod.,Other countries,,,
0,2000,Coke oven products,Other countries,,,
1,2000,Iron,Other countries,,,
2,2000,Non-ferrous metals,Other countries,,,
3,2000,Construction products,Other countries,,,
4,2000,Electricity distribution,Other countries,,,
5,2000,Fertilizers,Other countries,,,
6,2000,Nickel,Other countries,,,
7,2000,Precious metals prod.,Other countries,,,
8,2000,"Lead, zinc and tin prod.",Other countries,,,
9,2000,Natural Gas,Other countries,,,
0,2000,Nuclear elec. prod.,Other countries,,,
1,2000,Hydro elec. prod.,Other countries,,,
2,2000,Copper prod.,Other countries,,,
3,2000,Gas elec. prod.,Other countries,,,
4,2000,Plastic reproc.,Other countries,,,
5,2000,Other petroleum,Other countries,,,
6,2000,Petroleum Refinery,Other countries,,,
7,2000,Gaseous fuels distribution,Other countries,,,
8,2000,"Iron, steel and ferro-alloys",Other countries,,,
9,2000,Coal elec. prod.,Other countries,,,
0,2001,Iron,Other countries,,,
1,2001,Fertilizers,Other countries,,,
2,2001,Construction products,Other countries,,,
