,year,country,sector,coal,length_ratio,length
0,2007,Czechia,Iron,-62.40239920799304,0.2188649923366717,-0.8666999889999033
1,2007,Czechia,Nickel,-62.24797718933086,0.2183233853734769,-0.8645552387407064
2,2007,Czechia,Aluminium,-57.481911157581166,0.2016072812051398,-0.7983598771886273
3,2007,Czechia,Non-ferrous metals,-37.073582744900314,0.13002880508344694,-0.5149108714569487
4,2007,Czechia,"Lead, zinc and tin",-34.37298036831922,0.1205569365983149,-0.4774025051155447
5,2007,Czechia,Other sectors,-31.539379258760192,0.11061859940294977,-0.4380469341494471
6,2007,Hungary,Coke oven products,-68.72272455370367,0.8010829603427878,-0.16093815970737504
7,2007,Hungary,Coal elec. prod.,-17.06455086693046,0.19891703965721214,-0.0399625805087303
8,2007,Hungary,Other sectors,71.32242212507455,-0.4539657528417326,0.09120205577866561
9,2007,Spain,Copper prod.,-17.204449900194476,0.37457916538358943,-0.23895069305825659
10,2007,Spain,"Iron, steel and ferro-alloys",-9.424051463359781,0.20518257498238282,-0.13088960365777474
11,2007,Spain,Precious metals prod.,-6.534732508622776,0.14227567072965583,-0.09076017373087189
12,2007,Spain,Copper reproc.,-5.322027261239294,0.11587237843862654,-0.07391704529499019
13,2007,Spain,"Lead, zinc and tin prod.",-3.8514225005910507,0.08385403975018493,-0.0534919791748757
14,2007,Spain,Other sectors,-3.5933933433818623,0.07823617071556058,-0.04990824088030365
15,2007,RoW America,Gaseous fuels distribution,-85.73020990278884,0.6554014433906986,-0.2171501570956605
16,2007,RoW America,Other sources elec. prod.,-17.62683456406708,0.13475591426637587,-0.0446478539948363
17,2007,RoW America,Coke oven products,-14.126311108518255,0.10799465790189024,-0.03578121037934289
18,2007,RoW America,Petroleum elec. prod.,-13.322291509054434,0.10184798444103525,-0.03374467060497942
19,2007,RoW America,Other sectors,106.95032685504164,-0.4498323431497452,0.14904020271350918
20,2007,RoW Asia and Pacific,Other sectors,71.91044444827747,-1.0,-0.9987561728927427
21,2007,Canada,Coke oven products,-13.367016291393604,0.42285713770306366,0.27760386097512785
22,2007,Canada,Electricity distribution,-7.3581925516740485,0.2327717849100114,0.15281365845707232
23,2007,Canada,Coal elec. prod.,-6.608057542662692,0.20904173656663996,0.13723498553451136
24,2007,Canada,Construction products,-4.277921175161946,0.135329340820285,0.08884312020602769
25,2007,Canada,Other sectors,78.87887257332952,-0.7139001687347128,-0.4686723375844193
26,2007,RoW Europe,Iron,-20.74047830727217,0.6836489081193731,-0.19307530266980627
27,2007,RoW Europe,Gas elec. prod.,-5.152383543055251,0.16983317989281344,-0.047964082472366054
28,2007,RoW Europe,Coke oven products,-4.445047068925387,0.14651791198781355,-0.041379412542929934
29,2007,RoW Europe,Other sectors,10.003755485925446,-0.24797577475859822,0.07003302016235503
30,2007,Brazil,Gaseous fuels distribution,-14.48373746135765,0.4301323155039316,0.0033821449114163813
31,2007,Brazil,Coal elec. prod.,-14.371456074748899,0.4267978272243099,0.003355925717553006
32,2007,Brazil,Coke oven products,-4.81755538160471,0.1430698572717585,0.0011249631155516447
33,2007,Brazil,Other sectors,34.238887347316776,-0.5041681990063981,-0.003964291561701703
34,2007,Sweden,Gaseous fuels distribution,-5.631861655675041,0.18146308252240217,-0.07822030077326445
35,2007,Sweden,Coal elec. prod.,-4.190865096106087,0.13503302198636855,-0.05820645966814009
36,2007,Sweden,"Lead, zinc and tin",-2.8271356099290434,0.09109256829304778,-0.0392657723601256
37,2007,Sweden,Iron,-1.9000119519255954,0.061219903240769286,-0.026389054887855486
38,2007,Sweden,Biomass and waste elec. prod.,-1.5881527318877486,0.051171549989038584,-0.022057676831774283
39,2007,Sweden,Coke oven products,-1.535103370569857,0.04946225717981466,-0.021320880146803566
40,2007,Sweden,Precious metals,-1.4626874872269102,0.047128959556682844,-0.020315103989262638
41,2007,Sweden,Gas elec. prod.,-1.4389213921595534,0.0463631969840001,-0.019985019335549352
42,2007,Sweden,Other sectors,-10.461114264319413,0.33706546024787587,-0.14529325367110293
43,2007,Malta,Coal elec. prod.,-6.895165405129842,0.4078958813443227,-0.09576618618235892
44,2007,Malta,Gas elec. prod.,-2.216017519790437,0.13109249252191926,-0.03077802110820051
45,2007,Malta,Other sectors,-7.7930461209948305,0.46101162613375807,-0.10823675168048374
0,2007,RoW Middle East,Gas elec. prod.,23.934444711632878,0.328638027144838,0.3324228432171233
1,2007,RoW Middle East,Coal elec. prod.,13.934194662348059,0.19132703093214082,0.1935304814215008
2,2007,RoW Middle East,Other sources elec. prod.,10.712699446744665,0.14709346525439312,0.1487874923158981
3,2007,RoW Middle East,Coke oven products,5.604731157491827,0.07695719756473333,0.0778434882984976
4,2007,RoW Middle East,Copper,5.485786473721088,0.0753239971005177,0.07619147880168177
5,2007,RoW Middle East,Other sectors,13.15734386785418,0.18066028200337694,0.18274088705353028
6,2007,Belgium,Coal elec. prod.,26.9929172127231,0.8194148585609314,0.3219489659820843
7,2007,Belgium,Non-ferrous metals,5.948781281893489,0.1805851414390686,0.07095209337568212
8,2007,Belgium,Other sectors,-4.652822220857409,-0.12376330732000251,-0.04862673455564979
9,2007,Cyprus,Recycling,1.0104211580762357,1.0,-1.8483391396506288
10,2007,Cyprus,Other sectors,-134.0908392129215,-0.9925210086471322,1.8345154272080146
11,2007,Japan,Non-ferrous metals,17.3927319402192,0.4800864028096058,0.24156572139193333
12,2007,Japan,Coal elec. prod.,6.1838687736758935,0.17069148913493187,0.08588706630105408
13,2007,Japan,Other sectors,12.65173618219664,0.34922210805546233,0.17571855808606446
14,2007,Greece,Coke oven products,14.071974614301562,0.683561200143252,-0.27021559195278766
15,2007,Greece,Electricity distribution,4.175922249672492,0.20284988446397334,-0.08018770169591266
16,2007,Greece,Non-ferrous metals,2.338371946123031,0.1135889153927745,-0.044902337940920765
17,2007,Greece,Other sectors,-49.04827428454981,-0.7043670009851815,0.2784402421953345
18,2007,Turkey,Coke oven products,26.392363267085805,0.6428435550403578,0.1864619945491669
19,2007,Turkey,Other petroleum,8.874853546433604,0.2161664094464344,0.06270082284232212
20,2007,Turkey,Ash reproc. into clinker,5.788438267955098,0.1409900355132077,0.0408953049730741
21,2007,Turkey,Other sectors,-20.171470271225967,-0.3294531656521138,-0.09556056663611351
22,2007,Denmark,Coal elec. prod.,4.723318710231279,1.0,-0.08918750114030877
23,2007,Denmark,Other sectors,-11.14481879233351,-0.7023394390508753,0.06263989952123376
24,2007,Croatia,Coke oven products,99.18671638823919,0.7736730868038891,0.933983478416678
25,2007,Croatia,Gaseous fuels distribution,29.01564463479722,0.22632691319611078,0.27322340824787555
26,2007,Croatia,Other sectors,-41.283465183188554,-0.24358063507302463,-0.2940522201182808
27,2007,Lithuania,Chemical and fertilizer minerals,21.651434138971084,0.5973626309467016,0.30071436304126503
28,2007,Lithuania,Biomass and waste elec. prod.,5.707256443685682,0.15746309010316722,0.07926745060674557
29,2007,Lithuania,Other sectors,8.886352239419072,0.2451742789501312,0.12342155888082043
30,2007,Finland,Gas elec. prod.,28.701493977970618,0.19946902894362134,0.39863186080514756
31,2007,Finland,Biomass and waste elec. prod.,21.693198450278285,0.15076292658770638,0.3012944229205318
32,2007,Finland,Coal elec. prod.,20.22776551616556,0.1405784921267747,0.28094118772452176
